transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_056337401.1	Well annotated
DIO.2.selenocysteine	cds-XP_056332335.1	Well annotated
DIO.8.selenocysteine	cds-XP_056320380.1	Well annotated
GPX.13.selenocysteine	cds-XP_056328106.1	Well annotated
GPX.18.selenocysteine	cds-XP_056302241.1	Downstream
GPX.18.selenocysteine	cds-XP_056302248.1	Downstream
GPX.2.selenocysteine	cds-XP_056324527.1	Well annotated
GPX.26.selenocysteine	cds-XP_056325802.1	Downstream
GPX.4.selenocysteine	cds-XP_056315103.1	Well annotated
GPX.6.selenocysteine	cds-XP_056332899.1	Well annotated
MSRB.10.selenocysteine	cds-XP_056325626.1	Well annotated
MSRB.10.selenocysteine	cds-XP_056325627.1	Well annotated
MSRB.8.selenocysteine	cds-XP_056309250.1	Well annotated
SELENOE.5.selenocysteine	cds-XP_056312821.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_056330734.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_056320065.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_056305889.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_056320537.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_056337460.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_056314807.1	Well annotated
SELENON.8.selenocysteine	cds-XP_056332361.1	Well annotated
SELENOO.10.selenocysteine	cds-XP_056312069.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_056334741.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_056334742.1	Stop codon
SELENOP.7.selenocysteine	cds-XP_056332401.1	Well annotated
SELENOP.7.selenocysteine	cds-XP_056332410.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_056316974.1	Stop codon
SELENOS.3.selenocysteine	cds-XP_056316975.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_056327773.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_056327697.1	Well annotated
SELENOT.9.selenocysteine	cds-XP_056335010.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_056325478.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_056326143.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_056327216.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_056327217.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_056327218.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_056309299.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_056314623.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_056314625.1	Well annotated
SEPHS2.7.selenocysteine	cds-XP_056305132.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_056313425.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_056313426.1	Stop codon
TXNRD.4.selenocysteine	cds-XP_056315298.1	Stop codon
