transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-CAM2116284.1	Stop codon
DIO.1.selenocysteine	cds-CAM2116285.1	Downstream
DIO.3.selenocysteine	cds-CAM2116161.1	Stop codon
DIO.6.selenocysteine	cds-CAM2119038.1	Skipped
GPX.13.selenocysteine	cds-CAM2109213.1	Downstream
GPX.13.selenocysteine	cds-CAM2109214.1	Stop codon
GPX.3.selenocysteine	cds-CAM2117204.1	Downstream
GPX.5.selenocysteine	cds-CAM2115200.1	Skipped
GPX.9.selenocysteine	cds-CAM2118067.1	Downstream
MSRB.1.selenocysteine	cds-CAM2099899.1	Stop codon
SELENOF.3.selenocysteine	cds-CAM2118846.1	Out of frame
SELENOH.2.selenocysteine	cds-CAM2115169.1	Stop codon
SELENOH.2.selenocysteine	cds-CAM2115170.1	Out of frame
SELENOI.3.selenocysteine	cds-CAM2112473.1	Stop codon
SELENOK.2.selenocysteine	cds-CAM2116782.1	Stop codon
SELENOM.2.selenocysteine	cds-CAM2103361.1	Downstream
SELENON.5.selenocysteine	cds-CAM2104786.1	Stop codon
SELENON.5.selenocysteine	cds-CAM2104787.1	Downstream
SELENOO.1.selenocysteine	cds-CAM2098777.1	Stop codon
SELENOP.4.selenocysteine	cds-CAM2119163.1	Skipped
SELENOS.3.selenocysteine	cds-CAM2098976.1	Stop codon
SELENOT.3.selenocysteine	cds-CAM2119496.1	Downstream
SEPHS2.2.selenocysteine	cds-CAM2109902.1	Downstream
TXNRD.21.selenocysteine	cds-CAM2097849.1	Stop codon
TXNRD.33.selenocysteine	cds-CAM2103116.1	Stop codon
TXNRD.5.selenocysteine	cds-CAM2116710.1	Stop codon
