transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	ENSTBNP00005000064	Skipped
DIO.3.selenocysteine	ENSTBNP00005061555	Skipped
DIO.6.selenocysteine	ENSTBNP00005002214	Skipped
GPX.16.selenocysteine	ENSTBNP00005061106	Skipped
GPX.16.selenocysteine	ENSTBNP00005061107	Skipped
GPX.18.selenocysteine	ENSTBNP00005003339	Downstream
GPX.22.selenocysteine	ENSTBNP00005001635	Downstream
GPX.3.selenocysteine	ENSTBNP00005021224	Well annotated
GPX.4.selenocysteine	ENSTBNP00005040814	Downstream
GPX.4.selenocysteine	ENSTBNP00005040815	Skipped
GPX.6.selenocysteine	ENSTBNP00005010471	Skipped
GPX.7.selenocysteine	ENSTBNP00005035121	Downstream
GPX.7.selenocysteine	ENSTBNP00005035123	Downstream
GPX.9.selenocysteine	ENSTBNP00005035123	Downstream
GPX.9.selenocysteine	ENSTBNP00005035125	Downstream
MSRB.1.selenocysteine	ENSTBNP00005046232	Skipped
MSRB.2.selenocysteine	ENSTBNP00005046233	Stop codon
MSRB.9.selenocysteine	ENSTBNP00005048210	Stop codon
SELENOF.3.selenocysteine	ENSTBNP00005017762	Skipped
SELENOH.1.selenocysteine	ENSTBNP00005025871	Skipped
SELENOI.1.selenocysteine	ENSTBNP00005029041	Stop codon
SELENOI.1.selenocysteine	ENSTBNP00005029042	Stop codon
SELENOI.1.selenocysteine	ENSTBNP00005029043	Stop codon
SELENOI.1.selenocysteine	ENSTBNP00005029048	Stop codon
SELENOJ.1.selenocysteine	ENSTBNP00005060082	Skipped
SELENOJ.1.selenocysteine	ENSTBNP00005060083	Stop codon
SELENOJ.10.selenocysteine	ENSTBNP00005057645	Stop codon
SELENOK.1.selenocysteine	ENSTBNP00005049722	Stop codon
SELENOL.3.selenocysteine	ENSTBNP00005017027	Downstream
SELENOL.3.selenocysteine	ENSTBNP00005017029	Stop codon
SELENOM.2.selenocysteine	ENSTBNP00005057072	Skipped
SELENON.5.selenocysteine	ENSTBNP00005000629	Skipped
SELENOO.3.selenocysteine	ENSTBNP00005026301	Stop codon
SELENOP.3.selenocysteine	ENSTBNP00005055968	Downstream
SELENOP.3.selenocysteine	ENSTBNP00005055971	Skipped
SELENOP.4.selenocysteine	ENSTBNP00005008698	Downstream
SELENOS.4.selenocysteine	ENSTBNP00005016913	Stop codon
SELENOT.3.selenocysteine	ENSTBNP00005058879	Downstream
SELENOT.5.selenocysteine	ENSTBNP00005012613	Skipped
SELENOU.10.selenocysteine	ENSTBNP00005004374	Downstream
SELENOU.10.selenocysteine	ENSTBNP00005004376	Skipped
SELENOU.4.selenocysteine	ENSTBNP00005011009	Downstream
SELENOU.4.selenocysteine	ENSTBNP00005011011	Stop codon
SELENOU.5.selenocysteine	ENSTBNP00005004381	Downstream
SELENOU.5.selenocysteine	ENSTBNP00005004383	Stop codon
SELENOU.5.selenocysteine	ENSTBNP00005004387	Stop codon
SELENOW.1.selenocysteine	ENSTBNP00005023579	Downstream
SEPHS2.10.selenocysteine	ENSTBNP00005017156	Downstream
TXNRD.29.selenocysteine	ENSTBNP00005047346	Stop codon
