transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	ENSCUDP00000018631	Skipped
DIO.2.selenocysteine	ENSCUDP00000018658	Skipped
DIO.2.selenocysteine	ENSCUDP00000018666	Skipped
DIO.7.selenocysteine	ENSCUDP00000022969	Skipped
DIO.7.selenocysteine	ENSCUDP00000022990	Skipped
DIO.7.selenocysteine	ENSCUDP00000023001	Skipped
DIO.7.selenocysteine	ENSCUDP00000023019	Skipped
GPX.10.selenocysteine	ENSCUDP00000020790	Skipped
GPX.10.selenocysteine	ENSCUDP00000020826	Skipped
GPX.10.selenocysteine	ENSCUDP00000020891	Skipped
GPX.10.selenocysteine	ENSCUDP00000020912	Skipped
GPX.10.selenocysteine	ENSCUDP00000020936	Skipped
GPX.15.selenocysteine	ENSCUDP00000019227	Skipped
GPX.15.selenocysteine	ENSCUDP00000019247	Skipped
GPX.15.selenocysteine	ENSCUDP00000019274	Skipped
GPX.15.selenocysteine	ENSCUDP00000019287	Skipped
GPX.15.selenocysteine	ENSCUDP00000019335	Skipped
GPX.15.selenocysteine	ENSCUDP00000019352	Downstream
GPX.18.selenocysteine	ENSCUDP00000029011	Skipped
GPX.18.selenocysteine	ENSCUDP00000029042	Well annotated
GPX.3.selenocysteine	ENSCUDP00000021354	Downstream
GPX.4.selenocysteine	ENSCUDP00000053954	Skipped
GPX.4.selenocysteine	ENSCUDP00000053973	Skipped
GPX.4.selenocysteine	ENSCUDP00000053978	Skipped
GPX.4.selenocysteine	ENSCUDP00000053995	Skipped
GPX.6.selenocysteine	ENSCUDP00000043009	Downstream
GPX.6.selenocysteine	ENSCUDP00000065273	Stop codon
GPX.9.selenocysteine	ENSCUDP00000041430	Well annotated
MSRB.1.selenocysteine	ENSCUDP00000005716	Stop codon
MSRB.2.selenocysteine	ENSCUDP00000004794	Stop codon
MSRB.5.selenocysteine	ENSCUDP00000059333	Skipped
SELENOF.1.selenocysteine	ENSCUDP00000025764	Skipped
SELENOH.1.selenocysteine	ENSCUDP00000007279	Downstream
SELENOI.3.selenocysteine	ENSCUDP00000038149	Stop codon
SELENOI.3.selenocysteine	ENSCUDP00000038182	Stop codon
SELENOI.3.selenocysteine	ENSCUDP00000038193	Stop codon
SELENOJ.5.selenocysteine	ENSCUDP00000040271	Skipped
SELENOJ.9.selenocysteine	ENSCUDP00000029585	Skipped
SELENOK.1.selenocysteine	ENSCUDP00000043377	Stop codon
SELENOL.5.selenocysteine	ENSCUDP00000029262	Stop codon
SELENOL.5.selenocysteine	ENSCUDP00000029285	Downstream
SELENON.8.selenocysteine	ENSCUDP00000016502	Skipped
SELENOO.10.selenocysteine	ENSCUDP00000050190	Upstream
SELENOO.10.selenocysteine	ENSCUDP00000050197	Upstream
SELENOO.3.selenocysteine	ENSCUDP00000000061	Upstream
SELENOP.2.selenocysteine	ENSCUDP00000012842	Downstream
SELENOP.3.selenocysteine	ENSCUDP00000034106	Skipped
SELENOS.2.selenocysteine	ENSCUDP00000025190	Stop codon
SELENOT.3.selenocysteine	ENSCUDP00000003499	Skipped
SELENOT.3.selenocysteine	ENSCUDP00000003502	Skipped
SELENOT.8.selenocysteine	ENSCUDP00000046882	Skipped
SELENOU.12.selenocysteine	ENSCUDP00000017590	Skipped
SELENOU.6.selenocysteine	ENSCUDP00000028242	Skipped
SELENOU.9.selenocysteine	ENSCUDP00000028197	Skipped
SELENOW.1.selenocysteine	ENSCUDP00000034930	Downstream
SELENOW.2.selenocysteine	ENSCUDP00000051664	Skipped
TXNRD.1.selenocysteine	ENSCUDP00000009264	Stop codon
TXNRD.20.selenocysteine	ENSCUDP00000057247	Upstream
TXNRD.20.selenocysteine	ENSCUDP00000057275	Upstream
TXNRD.20.selenocysteine	ENSCUDP00000057288	Upstream
TXNRD.20.selenocysteine	ENSCUDP00000057299	Skipped
TXNRD.20.selenocysteine	ENSCUDP00000057301	Well annotated
TXNRD.29.selenocysteine	ENSCUDP00000043580	Upstream
TXNRD.29.selenocysteine	ENSCUDP00000043586	Stop codon
