transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_004286921.3	Stop codon
DIO.3.selenocysteine	cds-XP_004262346.2	Well annotated
DIO.3.selenocysteine	cds-XP_033272023.1	Well annotated
DIO.5.selenocysteine	cds-XP_004273874.2	Well annotated
GPX.10.selenocysteine	cds-XP_004262180.2	Well annotated
GPX.17.selenocysteine	cds-XP_004285922.2	Well annotated
GPX.17.selenocysteine	cds-XP_033272680.1	Well annotated
GPX.17.selenocysteine	cds-XP_049564402.1	Well annotated
GPX.2.selenocysteine	cds-XP_004286846.2	Well annotated
GPX.22.selenocysteine	cds-XP_004280386.2	Well annotated
GPX.3.selenocysteine	cds-XP_004286897.3	Well annotated
MSRB.1.selenocysteine	cds-XP_004270367.2	Well annotated
MSRB.1.selenocysteine	cds-XP_033285053.1	Upstream
MSRB.1.selenocysteine	cds-XP_049555131.1	Upstream
SELENOF.3.selenocysteine	cds-XP_004263038.2	Well annotated
SELENOH.1.selenocysteine	cds-XP_004264200.2	Well annotated
SELENOH.1.selenocysteine	cds-XP_033269120.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_004268157.3	Well annotated
SELENOI.10.selenocysteine	cds-XP_033280988.1	Upstream
SELENOI.10.selenocysteine	cds-XP_033280989.1	Upstream
SELENOK.1.selenocysteine	cds-XP_033280507.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_012393684.1	Well annotated
SELENON.8.selenocysteine	cds-XP_033278418.1	Well annotated
SELENON.8.selenocysteine	cds-XP_033278419.1	Well annotated
SELENON.8.selenocysteine	cds-XP_049551587.1	Well annotated
SELENOO.6.selenocysteine	cds-XP_004279655.3	Well annotated
SELENOO.6.selenocysteine	cds-XP_033261238.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_004266005.4	Well annotated
SELENOS.4.selenocysteine	cds-XP_004271693.2	Stop codon
SELENOS.4.selenocysteine	cds-XP_033287310.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_012391602.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_004271153.2	Well annotated
SELENOW.2.selenocysteine	cds-XP_049559622.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_049559623.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_004286880.2	Well annotated
TXNRD.10.selenocysteine	cds-XP_012388377.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_033283477.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_033283478.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_049550655.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_033271966.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_033271967.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_033271968.2	Upstream
TXNRD.25.selenocysteine	cds-XP_049571466.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_049571467.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_049571468.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_049571469.1	Upstream
TXNRD.25.selenocysteine	cds-XP_049571471.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_049571472.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_049571473.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_049571474.1	Out of frame
TXNRD.25.selenocysteine	cds-XP_049571475.1	Upstream
TXNRD.25.selenocysteine	cds-XP_049571477.1	Out of frame
TXNRD.34.selenocysteine	cds-XP_033295424.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295425.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295426.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295427.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295428.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295429.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295430.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_033295431.1	Upstream
TXNRD.34.selenocysteine	cds-XP_033295433.1	Upstream
TXNRD.34.selenocysteine	cds-XP_033295434.1	Upstream
TXNRD.34.selenocysteine	cds-XP_033295435.1	Upstream
