transcript_id	transcript_id_ens	Type_annotation
FrnE.1.selenocysteine	ENSHHTP00000015352	Downstream
GPX.11.selenocysteine	ENSHHTP00000024423	Downstream
GPX.11.selenocysteine	ENSHHTP00000024430	Downstream
GPX.11.selenocysteine	ENSHHTP00000024434	Downstream
GPX.14.selenocysteine	ENSHHTP00000012364	Downstream
GPX.14.selenocysteine	ENSHHTP00000012369	Skipped
GPX.14.selenocysteine	ENSHHTP00000012377	Downstream
GPX.14.selenocysteine	ENSHHTP00000012386	Downstream
GPX.6.selenocysteine	ENSHHTP00000024852	Downstream
GPX.8.selenocysteine	ENSHHTP00000022892	Skipped
GPX.8.selenocysteine	ENSHHTP00000022906	Downstream
SELENOF.2.selenocysteine	ENSHHTP00000033171	Stop codon
SELENOJ.1.selenocysteine	ENSHHTP00000050750	Skipped
SELENOJ.1.selenocysteine	ENSHHTP00000050757	Stop codon
SELENOL.1.selenocysteine	ENSHHTP00000046628	Stop codon
SELENOL.1.selenocysteine	ENSHHTP00000046635	Stop codon
SELENOL.1.selenocysteine	ENSHHTP00000047663	Downstream
SELENON.3.selenocysteine	ENSHHTP00000050898	Stop codon
SELENON.3.selenocysteine	ENSHHTP00000050903	Skipped
SELENON.3.selenocysteine	ENSHHTP00000050916	Stop codon
SELENOO.1.selenocysteine	ENSHHTP00000055778	Stop codon
SELENOO.1.selenocysteine	ENSHHTP00000055782	Stop codon
SELENOO.1.selenocysteine	ENSHHTP00000055794	Stop codon
SELENOT.3.selenocysteine	ENSHHTP00000019027	Downstream
SELENOT.3.selenocysteine	ENSHHTP00000019036	Downstream
SELENOU.4.selenocysteine	ENSHHTP00000023189	Stop codon
SELENOU.4.selenocysteine	ENSHHTP00000023201	Stop codon
SELENOU.4.selenocysteine	ENSHHTP00000023208	Stop codon
SELENOU.4.selenocysteine	ENSHHTP00000023212	Stop codon
SELENOU.4.selenocysteine	ENSHHTP00000024505	Downstream
SEPHS2.4.selenocysteine	ENSHHTP00000000528	Downstream
