transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSCAP00000026401	Well annotated
DIO.3.selenocysteine	ENSSCAP00000012200	Skipped
DIO.4.selenocysteine	ENSSCAP00000008082	Skipped
DIO.4.selenocysteine	ENSSCAP00000025903	Skipped
DIO.4.selenocysteine	ENSSCAP00000031191	Skipped
GPX.3.selenocysteine	ENSSCAP00000002535	Skipped
GPX.3.selenocysteine	ENSSCAP00000026896	Skipped
GPX.3.selenocysteine	ENSSCAP00000029705	Out of frame
GPX.3.selenocysteine	ENSSCAP00000030310	Skipped
GPX.3.selenocysteine	ENSSCAP00000031598	Out of frame
GPX.3.selenocysteine	ENSSCAP00000031919	Skipped
GPX.3.selenocysteine	ENSSCAP00000034207	Skipped
GPX.3.selenocysteine	ENSSCAP00000034496	Skipped
GPX.3.selenocysteine	ENSSCAP00000034599	Skipped
GPX.5.selenocysteine	ENSSCAP00000016272	Skipped
GPX.5.selenocysteine	ENSSCAP00000024761	Skipped
GPX.5.selenocysteine	ENSSCAP00000034401	Skipped
GPX.7.selenocysteine	ENSSCAP00000024745	Skipped
GPX.7.selenocysteine	ENSSCAP00000027845	Skipped
GPX.7.selenocysteine	ENSSCAP00000030910	Skipped
GPX.7.selenocysteine	ENSSCAP00000032372	Skipped
MSRB.1.selenocysteine	ENSSCAP00000024933	Skipped
SELENOF.3.selenocysteine	ENSSCAP00000027994	Skipped
SELENOF.3.selenocysteine	ENSSCAP00000028519	Skipped
SELENOI.1.selenocysteine	ENSSCAP00000017304	Skipped
SELENOM.2.selenocysteine	ENSSCAP00000028000	Downstream
SELENON.5.selenocysteine	ENSSCAP00000009228	Skipped
SELENOO.8.selenocysteine	ENSSCAP00000004936	Stop codon
SELENOO.8.selenocysteine	ENSSCAP00000026848	Stop codon
SELENOO.8.selenocysteine	ENSSCAP00000030894	Stop codon
SELENOP.3.selenocysteine	ENSSCAP00000034447	Downstream
SELENOS.4.selenocysteine	ENSSCAP00000027582	Stop codon
SELENOS.4.selenocysteine	ENSSCAP00000030385	Stop codon
SELENOT.2.selenocysteine	ENSSCAP00000011559	Skipped
SELENOT.2.selenocysteine	ENSSCAP00000026869	Downstream
SELENOU.6.selenocysteine	ENSSCAP00000003679	Well annotated
SEPHS2.7.selenocysteine	ENSSCAP00000029617	Skipped
TXNRD.17.selenocysteine	ENSSCAP00000003442	Upstream
TXNRD.17.selenocysteine	ENSSCAP00000003450	Upstream
TXNRD.17.selenocysteine	ENSSCAP00000003499	Upstream
TXNRD.17.selenocysteine	ENSSCAP00000003523	Upstream
TXNRD.32.selenocysteine	ENSSCAP00000006029	Skipped
TXNRD.32.selenocysteine	ENSSCAP00000024776	Skipped
TXNRD.32.selenocysteine	ENSSCAP00000028489	Skipped
TXNRD.9.selenocysteine	ENSSCAP00000006122	Skipped
