transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSRFCP00000038854	Skipped
DIO.1.selenocysteine	ENSRFCP00000038861	Stop codon
DIO.2.selenocysteine	ENSRFCP00000009855	Downstream
DIO.3.selenocysteine	ENSRFCP00000021470	Stop codon
DIO.3.selenocysteine	ENSRFCP00000022180	Downstream
DIO.4.selenocysteine	ENSRFCP00000022002	Skipped
FrnE.1.selenocysteine	ENSRFCP00000020668	Downstream
FrnE.2.selenocysteine	ENSRFCP00000023918	Downstream
GPX.13.selenocysteine	ENSRFCP00000021464	Skipped
GPX.14.selenocysteine	ENSRFCP00000023393	Downstream
GPX.20.selenocysteine	ENSRFCP00000020445	Downstream
GPX.20.selenocysteine	ENSRFCP00000020454	Downstream
GPX.22.selenocysteine	ENSRFCP00000000561	Skipped
GPX.22.selenocysteine	ENSRFCP00000000577	Downstream
GPX.22.selenocysteine	ENSRFCP00000000586	Downstream
GPX.22.selenocysteine	ENSRFCP00000000591	Downstream
GPX.22.selenocysteine	ENSRFCP00000000598	Downstream
GPX.3.selenocysteine	ENSRFCP00000029938	Skipped
GPX.3.selenocysteine	ENSRFCP00000029948	Downstream
GPX.5.selenocysteine	ENSRFCP00000020450	Downstream
GPX.5.selenocysteine	ENSRFCP00000020454	Downstream
MsrA.4.selenocysteine	ENSRFCP00000016010	Downstream
SELENOF.2.selenocysteine	ENSRFCP00000030275	Stop codon
SELENOH.2.selenocysteine	ENSRFCP00000018567	Stop codon
SELENOJ.8.selenocysteine	ENSRFCP00000019819	Stop codon
SELENOL.1.selenocysteine	ENSRFCP00000028388	Stop codon
SELENOL.1.selenocysteine	ENSRFCP00000028394	Stop codon
SELENOL.1.selenocysteine	ENSRFCP00000029677	Downstream
SELENOM.2.selenocysteine	ENSRFCP00000017503	Downstream
SELENON.1.selenocysteine	ENSRFCP00000027812	Stop codon
SELENON.1.selenocysteine	ENSRFCP00000027822	Skipped
SELENOO.4.selenocysteine	ENSRFCP00000021594	Stop codon
SELENOP.2.selenocysteine	ENSRFCP00000000399	Downstream
SELENOT.3.selenocysteine	ENSRFCP00000025162	Downstream
SELENOU.7.selenocysteine	ENSRFCP00000020550	Downstream
SELENOU.8.selenocysteine	ENSRFCP00000019034	Downstream
SEPHS2.2.selenocysteine	ENSRFCP00000002016	Downstream
SEPHS2.2.selenocysteine	ENSRFCP00000002034	Downstream
TXNRD.10.selenocysteine	ENSRFCP00000009263	Stop codon
TXNRD.10.selenocysteine	ENSRFCP00000009275	Stop codon
TXNRD.20.selenocysteine	ENSRFCP00000001494	Stop codon
TXNRD.20.selenocysteine	ENSRFCP00000001506	Stop codon
TXNRD.23.selenocysteine	ENSRFCP00000015652	Stop codon
