transcript_id	transcript_id_ens	Type_annotation
DIO.13.selenocysteine	ENSOPAP00000046368	Skipped
DIO.14.selenocysteine	ENSOPAP00000050059	Skipped
DIO.3.selenocysteine	ENSOPAP00000034705	Skipped
DIO.3.selenocysteine	ENSOPAP00000042189	Upstream
FrnE.6.selenocysteine	ENSOPAP00000028278	Downstream
FrnE.6.selenocysteine	ENSOPAP00000028286	Downstream
FrnE.6.selenocysteine	ENSOPAP00000028292	Downstream
FrnE.6.selenocysteine	ENSOPAP00000028299	Downstream
FrnE.6.selenocysteine	ENSOPAP00000028306	Downstream
GPX.1.selenocysteine	ENSOPAP00000036431	Skipped
GPX.10.selenocysteine	ENSOPAP00000022193	Stop codon
GPX.10.selenocysteine	ENSOPAP00000022199	Stop codon
GPX.10.selenocysteine	ENSOPAP00000022207	Stop codon
GPX.10.selenocysteine	ENSOPAP00000022215	Skipped
GPX.2.selenocysteine	ENSOPAP00000042643	Downstream
GPX.8.selenocysteine	ENSOPAP00000013135	Skipped
MSRB.8.selenocysteine	ENSOPAP00000000382	Skipped
MSRB.8.selenocysteine	ENSOPAP00000000392	Stop codon
MsrA.2.selenocysteine	ENSOPAP00000041485	Downstream
MsrA.2.selenocysteine	ENSOPAP00000041488	Skipped
SELENOF.1.selenocysteine	ENSOPAP00000047515	Upstream
SELENOF.1.selenocysteine	ENSOPAP00000047532	Upstream
SELENOH.1.selenocysteine	ENSOPAP00000056360	Downstream
SELENOL.2.selenocysteine	ENSOPAP00000016854	Skipped
SELENOL.2.selenocysteine	ENSOPAP00000016865	Stop codon
SELENOO.1.selenocysteine	ENSOPAP00000064183	Stop codon
SELENOO.1.selenocysteine	ENSOPAP00000064188	Stop codon
SELENOO.1.selenocysteine	ENSOPAP00000064194	Stop codon
SELENOT.1.selenocysteine	ENSOPAP00000009354	Downstream
SELENOT.1.selenocysteine	ENSOPAP00000009359	Downstream
SELENOU.1.selenocysteine	ENSOPAP00000033394	Skipped
SELENOU.1.selenocysteine	ENSOPAP00000033398	Skipped
SELENOU.3.selenocysteine	ENSOPAP00000002390	Skipped
SELENOW.1.selenocysteine	ENSOPAP00000003809	Downstream
SEPHS2.1.selenocysteine	ENSOPAP00000017860	Downstream
SEPHS2.1.selenocysteine	ENSOPAP00000017877	Downstream
TXNRD.2.selenocysteine	ENSOPAP00000019394	Stop codon
TXNRD.2.selenocysteine	ENSOPAP00000019403	Stop codon
TXNRD.23.selenocysteine	ENSOPAP00000073182	Stop codon
