transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_020488034.1	Well annotated
DIO.2.selenocysteine	cds-XP_020498376.1	Well annotated
DIO.4.selenocysteine	cds-XP_020496936.2	Well annotated
DIO.7.selenocysteine	cds-XP_020505709.2	Well annotated
DIO.7.selenocysteine	cds-XP_029136260.2	Well annotated
GPX.13.selenocysteine	cds-XP_065812292.1	Well annotated
GPX.13.selenocysteine	cds-XP_065812293.1	Well annotated
GPX.13.selenocysteine	cds-XP_065812294.1	Well annotated
GPX.16.selenocysteine	cds-XP_020495090.1	Well annotated
GPX.16.selenocysteine	cds-XP_020495091.1	Well annotated
GPX.20.selenocysteine	cds-XP_020489749.2	Well annotated
GPX.20.selenocysteine	cds-XP_065810010.1	Well annotated
GPX.3.selenocysteine	cds-XP_020484694.1	Well annotated
GPX.4.selenocysteine	cds-XP_020497739.1	Well annotated
GPX.4.selenocysteine	cds-XP_065810594.1	Well annotated
GPX.6.selenocysteine	cds-XP_020485759.2	Well annotated
GPX.9.selenocysteine	cds-XP_065805997.1	Well annotated
MSRB.9.selenocysteine	cds-XP_065806096.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_020492310.2	Well annotated
SELENOF.1.selenocysteine	cds-XP_020483463.2	Well annotated
SELENOH.1.selenocysteine	cds-XP_020501519.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_020489118.1	Well annotated
SELENOJ.11.selenocysteine	cds-XP_065805170.1	Well annotated
SELENOJ.5.selenocysteine	cds-XP_065809841.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_020493833.1	Well annotated
SELENOL.6.selenocysteine	cds-XP_020492711.2	Well annotated
SELENOM.4.selenocysteine	cds-XP_020506366.1	Well annotated
SELENON.3.selenocysteine	cds-XP_020498333.2	Well annotated
SELENON.3.selenocysteine	cds-XP_029134935.2	Well annotated
SELENON.3.selenocysteine	cds-XP_029134936.2	Well annotated
SELENON.3.selenocysteine	cds-XP_029134937.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_020495406.2	Well annotated
SELENOO.12.selenocysteine	cds-XP_065807676.1	Stop codon
SELENOP.5.selenocysteine	cds-XP_020507776.2	Well annotated
SELENOS.1.selenocysteine	cds-XP_020487118.1	Stop codon
SELENOS.1.selenocysteine	cds-XP_065809252.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_020515966.1	Well annotated
SELENOT.8.selenocysteine	cds-XP_020499416.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_020503768.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_020503769.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_020503770.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_020503771.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_065820804.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_020510096.2	Well annotated
TXNRD.13.selenocysteine	cds-XP_029133360.2	Stop codon
TXNRD.13.selenocysteine	cds-XP_065807568.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_065818851.1	Stop codon
TXNRD.9.selenocysteine	cds-XP_020503007.2	Stop codon
TXNRD.9.selenocysteine	cds-XP_065811423.1	Stop codon
