transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSDPEP00005029992	Stop codon
DIO.1.selenocysteine	ENSDPEP00005029993	Downstream
DIO.2.selenocysteine	ENSDPEP00005025703	Downstream
DIO.3.selenocysteine	ENSDPEP00005016955	Stop codon
DIO.3.selenocysteine	ENSDPEP00005016956	Downstream
DIO.5.selenocysteine	ENSDPEP00005028228	Downstream
DIO.5.selenocysteine	ENSDPEP00005028230	Skipped
GPX.10.selenocysteine	ENSDPEP00005059131	Downstream
GPX.11.selenocysteine	ENSDPEP00005040922	Skipped
GPX.17.selenocysteine	ENSDPEP00005024611	Skipped
GPX.20.selenocysteine	ENSDPEP00005031178	Downstream
GPX.20.selenocysteine	ENSDPEP00005031179	Stop codon
GPX.3.selenocysteine	ENSDPEP00005021003	Skipped
GPX.4.selenocysteine	ENSDPEP00005032325	Downstream
GPX.6.selenocysteine	ENSDPEP00005047020	Downstream
GPX.6.selenocysteine	ENSDPEP00005047021	Downstream
GPX.6.selenocysteine	ENSDPEP00005047022	Stop codon
MSRB.1.selenocysteine	ENSDPEP00005042751	Stop codon
SELENOF.3.selenocysteine	ENSDPEP00005038021	Skipped
SELENOI.3.selenocysteine	ENSDPEP00005018729	Skipped
SELENOI.3.selenocysteine	ENSDPEP00005018730	Stop codon
SELENOJ.5.selenocysteine	ENSDPEP00005053458	Stop codon
SELENOJ.7.selenocysteine	ENSDPEP00005019354	Upstream
SELENOJ.7.selenocysteine	ENSDPEP00005019355	Stop codon
SELENOJ.7.selenocysteine	ENSDPEP00005019373	Skipped
SELENOK.2.selenocysteine	ENSDPEP00005011021	Stop codon
SELENOM.2.selenocysteine	ENSDPEP00005057983	Downstream
SELENON.9.selenocysteine	ENSDPEP00005012750	Stop codon
SELENON.9.selenocysteine	ENSDPEP00005012751	Skipped
SELENOO.4.selenocysteine	ENSDPEP00005003274	Out of frame
SELENOO.4.selenocysteine	ENSDPEP00005003275	Stop codon
SELENOS.4.selenocysteine	ENSDPEP00005056328	Stop codon
SELENOU.10.selenocysteine	ENSDPEP00005003008	Downstream
SELENOU.10.selenocysteine	ENSDPEP00005003009	Downstream
SELENOU.10.selenocysteine	ENSDPEP00005003010	Stop codon
SELENOW.3.selenocysteine	ENSDPEP00005025854	Out of frame
SEPHS2.5.selenocysteine	ENSDPEP00005001462	Downstream
SEPHS2.5.selenocysteine	ENSDPEP00005001463	Skipped
TXNRD.10.selenocysteine	ENSDPEP00005055720	Stop codon
TXNRD.10.selenocysteine	ENSDPEP00005055723	Stop codon
TXNRD.10.selenocysteine	ENSDPEP00005055724	Stop codon
TXNRD.10.selenocysteine	ENSDPEP00005055729	Skipped
TXNRD.10.selenocysteine	ENSDPEP00005055745	Stop codon
TXNRD.10.selenocysteine	ENSDPEP00005055746	Skipped
TXNRD.10.selenocysteine	ENSDPEP00005055747	Skipped
TXNRD.10.selenocysteine	ENSDPEP00005055748	Stop codon
TXNRD.10.selenocysteine	ENSDPEP00005055750	Stop codon
TXNRD.10.selenocysteine	ENSDPEP00005055759	Stop codon
TXNRD.15.selenocysteine	ENSDPEP00005003185	Upstream
TXNRD.31.selenocysteine	ENSDPEP00005022734	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022794	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022799	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022803	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022842	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022843	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022846	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022847	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022850	Stop codon
TXNRD.31.selenocysteine	ENSDPEP00005022853	Stop codon
