transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSNAP00000000883	Stop codon
DIO.1.selenocysteine	ENSSNAP00000009262	Downstream
DIO.3.selenocysteine	ENSSNAP00000018678	Downstream
DIO.3.selenocysteine	ENSSNAP00000018689	Out of frame
DIO.5.selenocysteine	ENSSNAP00000009433	Downstream
GPX.1.selenocysteine	ENSSNAP00000016903	Skipped
GPX.2.selenocysteine	ENSSNAP00000004512	Skipped
GPX.3.selenocysteine	ENSSNAP00000024411	Downstream
GPX.3.selenocysteine	ENSSNAP00000024413	Skipped
GPX.7.selenocysteine	ENSSNAP00000025379	Skipped
MSRB.1.selenocysteine	ENSSNAP00000025536	Stop codon
SELENOF.1.selenocysteine	ENSSNAP00000008536	Stop codon
SELENOI.6.selenocysteine	ENSSNAP00000000364	Out of frame
SELENOK.2.selenocysteine	ENSSNAP00000003073	Stop codon
SELENON.2.selenocysteine	ENSSNAP00000025808	Skipped
SELENOO.3.selenocysteine	ENSSNAP00000010047	Stop codon
SELENOP.1.selenocysteine	ENSSNAP00000008460	Downstream
SELENOP.5.selenocysteine	ENSSNAP00000010297	Downstream
SELENOP.5.selenocysteine	ENSSNAP00000010315	Out of frame
SELENOS.5.selenocysteine	ENSSNAP00000018826	Stop codon
SELENOT.2.selenocysteine	ENSSNAP00000005282	Downstream
SELENOU.6.selenocysteine	ENSSNAP00000024791	Downstream
SELENOU.6.selenocysteine	ENSSNAP00000024793	Stop codon
SELENOU.6.selenocysteine	ENSSNAP00000024794	Stop codon
TXNRD.25.selenocysteine	ENSSNAP00000006873	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006891	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006900	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006906	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006909	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006922	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006928	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006934	Upstream
TXNRD.25.selenocysteine	ENSSNAP00000006944	Stop codon
TXNRD.40.selenocysteine	ENSSNAP00000000234	Upstream
TXNRD.40.selenocysteine	ENSSNAP00000000240	Stop codon
TXNRD.40.selenocysteine	ENSSNAP00000000248	Skipped
TXNRD.40.selenocysteine	ENSSNAP00000000255	Stop codon
TXNRD.40.selenocysteine	ENSSNAP00000000256	Stop codon
TXNRD.40.selenocysteine	ENSSNAP00000000259	Stop codon
TXNRD.40.selenocysteine	ENSSNAP00000000261	Stop codon
TXNRD.40.selenocysteine	ENSSNAP00000000266	Stop codon
TXNRD.9.selenocysteine	ENSSNAP00000014244	Stop codon
