transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_025868505.1	Well annotated
DIO.3.selenocysteine	cds-XP_025874231.1	Out of frame
DIO.5.selenocysteine	cds-XP_025862824.1	Well annotated
GPX.10.selenocysteine	cds-XP_072588124.1	Well annotated
GPX.27.selenocysteine	cds-XP_025864138.1	Well annotated
GPX.4.selenocysteine	cds-XP_072578141.1	Well annotated
GPX.5.selenocysteine	cds-XP_025843889.1	Well annotated
GPX.7.selenocysteine	cds-XP_025864169.1	Well annotated
MSRB.1.selenocysteine	cds-XP_025840651.2	Downstream
MSRB.1.selenocysteine	cds-XP_025840653.1	Downstream
MSRB.1.selenocysteine	cds-XP_025840717.1	Well annotated
MSRB.1.selenocysteine	cds-XP_072610201.1	Downstream
MSRB.1.selenocysteine	cds-XP_072610202.1	Downstream
SELENOF.3.selenocysteine	cds-XP_025860610.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_025868617.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_025839809.1	Well annotated
SELENOK.4.selenocysteine	cds-XP_025842028.1	Well annotated
SELENOK.4.selenocysteine	cds-XP_025842036.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_025841791.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_025841792.1	Skipped
SELENON.10.selenocysteine	cds-XP_072606808.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_072597661.1	Well annotated
SELENOS.19.selenocysteine	cds-XP_025857689.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_072583234.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_025869707.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608467.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608472.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608478.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608484.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608485.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608506.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072608511.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_025866957.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_072597485.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597486.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597487.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597488.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597489.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597490.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597492.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597493.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597494.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597495.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597496.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597497.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597498.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597499.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597500.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597501.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597503.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597504.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597505.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_072597506.1	Stop codon
TXNRD.26.selenocysteine	cds-XP_072576228.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_025838523.2	Stop codon
TXNRD.40.selenocysteine	cds-XP_025838524.2	Stop codon
TXNRD.40.selenocysteine	cds-XP_072579601.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_072579603.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_072579604.1	Stop codon
