transcript_id	transcript_id_ens	Type_annotation
DIO.11.selenocysteine	cds-XP_057290871.1	Downstream
DIO.15.selenocysteine	cds-XP_057303156.1	Well annotated
DIO.4.selenocysteine	cds-XP_057303730.1	Stop codon
DIO.4.selenocysteine	cds-XP_057305272.1	Downstream
DIO.6.selenocysteine	cds-XP_057292537.1	Stop codon
GPX.1.selenocysteine	cds-XP_057300213.1	Well annotated
GPX.13.selenocysteine	cds-XP_057291458.1	Well annotated
GPX.3.selenocysteine	cds-XP_057300434.1	Well annotated
GPX.7.selenocysteine	cds-XP_057291354.1	Well annotated
MSRB.4.selenocysteine	cds-XP_057305851.1	Well annotated
MSRB.4.selenocysteine	cds-XP_057305852.1	Well annotated
MsrA.2.selenocysteine	cds-XP_057290847.1	Downstream
SELENOF.1.selenocysteine	cds-XP_057290091.1	Well annotated
SELENOL.2.selenocysteine	cds-XP_057316364.1	Stop codon
SELENON.5.selenocysteine	cds-XP_057315617.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_057299427.1	Downstream
SELENOT.1.selenocysteine	cds-XP_057302219.1	Downstream
SELENOU.2.selenocysteine	cds-XP_057304285.1	Well annotated
SEPHS2.4.selenocysteine	cds-XP_057296884.1	Well annotated
TXNRD.8.selenocysteine	cds-XP_057296455.1	Stop codon
