transcript_id	transcript_id_ens	Type_annotation
MSRB.4.selenocysteine	cds-XP_065343186.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_065337552.1	Stop codon
SELENOH.1.selenocysteine	cds-XP_065337553.1	Stop codon
SELENOH.1.selenocysteine	cds-XP_065337554.1	Stop codon
SELENOP.1.selenocysteine	cds-XP_065353001.1	Downstream
SEPHS2.4.selenocysteine	cds-XP_065345572.1	Well annotated
SelKi.6.selenocysteine	cds-XP_065349888.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_065333108.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_065333110.1	Stop codon
TXNRD.7.selenocysteine	cds-XP_065333111.1	Upstream
