transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSPOBP00010026733	Well annotated
DIO.3.selenocysteine	ENSPOBP00010021953	Stop codon
DIO.5.selenocysteine	ENSPOBP00010020727	Skipped
GPX.10.selenocysteine	ENSPOBP00010008510	Skipped
GPX.10.selenocysteine	ENSPOBP00010008512	Well annotated
GPX.10.selenocysteine	ENSPOBP00010008513	Skipped
GPX.2.selenocysteine	ENSPOBP00010025909	Well annotated
GPX.21.selenocysteine	ENSPOBP00010004518	Skipped
GPX.21.selenocysteine	ENSPOBP00010004521	Well annotated
GPX.4.selenocysteine	ENSPOBP00010025615	Well annotated
MSRB.1.selenocysteine	ENSPOBP00010006789	Well annotated
SELENOF.3.selenocysteine	ENSPOBP00010011250	Well annotated
SELENOH.1.selenocysteine	ENSPOBP00010001754	Downstream
SELENOI.5.selenocysteine	ENSPOBP00010000982	Stop codon
SELENOI.5.selenocysteine	ENSPOBP00010000988	Well annotated
SELENOK.1.selenocysteine	ENSPOBP00010026286	Stop codon
SELENOK.10.selenocysteine	ENSPOBP00010011892	Stop codon
SELENOK.10.selenocysteine	ENSPOBP00010011897	Well annotated
SELENOM.2.selenocysteine	ENSPOBP00010025531	Skipped
SELENON.5.selenocysteine	ENSPOBP00010013029	Skipped
SELENOO.1.selenocysteine	ENSPOBP00010009676	Stop codon
SELENOP.1.selenocysteine	ENSPOBP00010001769	Downstream
SELENOS.1.selenocysteine	ENSPOBP00010017097	Stop codon
SELENOT.3.selenocysteine	ENSPOBP00010025225	Well annotated
SELENOW.2.selenocysteine	ENSPOBP00010012731	Skipped
SELENOW.3.selenocysteine	ENSPOBP00010027354	Skipped
SEPHS2.1.selenocysteine	ENSPOBP00010027351	Downstream
TXNRD.13.selenocysteine	ENSPOBP00010026645	Upstream
TXNRD.18.selenocysteine	ENSPOBP00010014144	Stop codon
TXNRD.18.selenocysteine	ENSPOBP00010014147	Stop codon
TXNRD.38.selenocysteine	ENSPOBP00010009986	Stop codon
TXNRD.38.selenocysteine	ENSPOBP00010009991	Stop codon
