transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_010582250.1	Well annotated
DIO.3.selenocysteine	cds-XP_010582092.1	Well annotated
DIO.5.selenocysteine	cds-XP_010580648.1	Well annotated
GPX.2.selenocysteine	cds-XP_010562594.1	Well annotated
GPX.4.selenocysteine	cds-XP_010572023.1	Well annotated
GPX.5.selenocysteine	cds-XP_010561574.1	Well annotated
MSRB.1.selenocysteine	cds-XP_010568911.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_010580886.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_010566326.1	Well annotated
SELENOI.7.selenocysteine	cds-XP_010564164.1	Stop codon
SELENOK.2.selenocysteine	cds-XP_010570948.1	Stop codon
SELENON.5.selenocysteine	cds-XP_010574654.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_010579575.1	Stop codon
SELENOO.5.selenocysteine	cds-XP_010579576.1	Stop codon
SELENOO.5.selenocysteine	cds-XP_010579577.1	Stop codon
SELENOO.5.selenocysteine	cds-XP_010579578.1	Stop codon
SELENOP.1.selenocysteine	cds-XP_010581021.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_010584093.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_010570607.1	Out of frame
SELENOT.2.selenocysteine	cds-XP_010583199.1	Downstream
SELENOU.6.selenocysteine	cds-XP_010566148.1	Well annotated
TXNRD.15.selenocysteine	cds-XP_010564621.1	Stop codon
TXNRD.15.selenocysteine	cds-XP_010564622.1	Stop codon
TXNRD.15.selenocysteine	cds-XP_010564623.1	Stop codon
TXNRD.15.selenocysteine	cds-XP_010564624.1	Stop codon
TXNRD.15.selenocysteine	cds-XP_010564625.1	Stop codon
TXNRD.26.selenocysteine	cds-XP_010579965.1	Stop codon
TXNRD.26.selenocysteine	cds-XP_010579966.1	Stop codon
TXNRD.26.selenocysteine	cds-XP_010579967.1	Upstream
TXNRD.4.selenocysteine	cds-XP_010570047.1	Stop codon
