transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_039273251.2	Downstream
DIO.10.selenocysteine	cds-XP_039264994.2	Well annotated
DIO.2.selenocysteine	cds-XP_077971140.1	Downstream
DIO.2.selenocysteine	cds-XP_077971142.1	Downstream
DIO.2.selenocysteine	cds-XP_077971146.1	Downstream
FrnE.1.selenocysteine	cds-XP_077973021.1	Well annotated
GPX.13.selenocysteine	cds-XP_039274139.2	Well annotated
GPX.17.selenocysteine	cds-XP_039274052.1	Downstream
GPX.21.selenocysteine	cds-XP_039249828.2	Well annotated
GPX.21.selenocysteine	cds-XP_077970309.1	Well annotated
GPX.8.selenocysteine	cds-XP_039264871.2	Downstream
GPX.9.selenocysteine	cds-XP_039264870.2	Downstream
SELENOF.1.selenocysteine	cds-XP_039268931.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_039251033.2	Stop codon
SELENOL.1.selenocysteine	cds-XP_039256795.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_039251485.2	Stop codon
SELENOT.1.selenocysteine	cds-XP_039250751.2	Well annotated
TXNRD.13.selenocysteine	cds-XP_039258102.2	Stop codon
TXNRD.22.selenocysteine	cds-XP_039263418.2	Stop codon
