transcript_id	transcript_id_ens	Type_annotation
GPX.11.selenocysteine	cds-XP_072023574.1	Well annotated
GPX.13.selenocysteine	cds-XP_072023576.1	Well annotated
GPX.4.selenocysteine	cds-XP_072046496.1	Downstream
GPX.7.selenocysteine	cds-XP_072046496.1	Downstream
MSRB.1.selenocysteine	cds-XP_072029604.1	Well annotated
MsrA.2.selenocysteine	cds-XP_072021709.1	Downstream
MsrA.2.selenocysteine	cds-XP_072021710.1	Downstream
MsrA.2.selenocysteine	cds-XP_072021711.1	Downstream
MsrA.4.selenocysteine	cds-XP_072024599.1	Downstream
MsrA.7.selenocysteine	cds-XP_072013840.1	Downstream
MsrA.8.selenocysteine	cds-XP_072013831.1	Downstream
SELENOF.1.selenocysteine	cds-XP_072015788.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_072013442.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_072013443.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_072026494.1	Stop codon
SELENOL.4.selenocysteine	cds-XP_072032646.1	Well annotated
SELENON.15.selenocysteine	cds-XP_072030855.1	Well annotated
SELENOT.1.selenocysteine	cds-XP_072035283.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_072050754.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_072042904.1	Downstream
TXNRD.13.selenocysteine	cds-XP_072044137.1	Stop codon
