transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSVXQP00000053256	Stop codon
DIO.1.selenocysteine	ENSVXQP00000053262	Downstream
DIO.2.selenocysteine	ENSVXQP00000044388	Downstream
DIO.6.selenocysteine	ENSVXQP00000020667	Downstream
DIO.6.selenocysteine	ENSVXQP00000048175	Stop codon
DIO.7.selenocysteine	ENSVXQP00000028259	Downstream
DIO.7.selenocysteine	ENSVXQP00000051006	Stop codon
GPX.12.selenocysteine	ENSVXQP00000036629	Downstream
GPX.12.selenocysteine	ENSVXQP00000036637	Downstream
GPX.18.selenocysteine	ENSVXQP00000055339	Downstream
GPX.18.selenocysteine	ENSVXQP00000055342	Downstream
GPX.19.selenocysteine	ENSVXQP00000003756	Skipped
GPX.19.selenocysteine	ENSVXQP00000003759	Downstream
GPX.3.selenocysteine	ENSVXQP00000018463	Downstream
GPX.4.selenocysteine	ENSVXQP00000027312	Downstream
GPX.6.selenocysteine	ENSVXQP00000056641	Downstream
GPX.6.selenocysteine	ENSVXQP00000056645	Downstream
GPX.6.selenocysteine	ENSVXQP00000056648	Downstream
GPX.6.selenocysteine	ENSVXQP00000056650	Downstream
GPX.8.selenocysteine	ENSVXQP00000045535	Downstream
MSRB.1.selenocysteine	ENSVXQP00000025342	Stop codon
MSRB.2.selenocysteine	ENSVXQP00000046133	Stop codon
SELENOF.3.selenocysteine	ENSVXQP00000002905	Skipped
SELENOI.2.selenocysteine	ENSVXQP00000018325	Upstream
SELENOI.2.selenocysteine	ENSVXQP00000018336	Upstream
SELENOI.2.selenocysteine	ENSVXQP00000018365	Skipped
SELENOI.2.selenocysteine	ENSVXQP00000018378	Upstream
SELENOI.2.selenocysteine	ENSVXQP00000018387	Stop codon
SELENOJ.10.selenocysteine	ENSVXQP00000027893	Stop codon
SELENOJ.10.selenocysteine	ENSVXQP00000028363	Skipped
SELENOJ.5.selenocysteine	ENSVXQP00000047817	Stop codon
SELENOJ.5.selenocysteine	ENSVXQP00000047845	Skipped
SELENOJ.5.selenocysteine	ENSVXQP00000047854	Skipped
SELENOM.2.selenocysteine	ENSVXQP00000008434	Downstream
SELENON.3.selenocysteine	ENSVXQP00000042283	Skipped
SELENON.3.selenocysteine	ENSVXQP00000042332	Skipped
SELENON.3.selenocysteine	ENSVXQP00000042343	Skipped
SELENOO.1.selenocysteine	ENSVXQP00000021288	Stop codon
SELENOO.10.selenocysteine	ENSVXQP00000028511	Stop codon
SELENOO.10.selenocysteine	ENSVXQP00000028544	Stop codon
SELENOP.4.selenocysteine	ENSVXQP00000029260	Downstream
SELENOS.216.selenocysteine	ENSVXQP00000043558	Stop codon
SELENOT.13.selenocysteine	ENSVXQP00000045675	Upstream
SELENOT.3.selenocysteine	ENSVXQP00000044780	Out of frame
SELENOT.8.selenocysteine	ENSVXQP00000055261	Upstream
SELENOU.5.selenocysteine	ENSVXQP00000008674	Downstream
SELENOU.5.selenocysteine	ENSVXQP00000008682	Downstream
SELENOU.5.selenocysteine	ENSVXQP00000008689	Stop codon
SELENOU.9.selenocysteine	ENSVXQP00000005163	Skipped
SELENOW.1.selenocysteine	ENSVXQP00000034947	Downstream
SEPHS2.10.selenocysteine	ENSVXQP00000015952	Downstream
TXNRD.10.selenocysteine	ENSVXQP00000041944	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000041975	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000041982	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000041990	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000042130	Skipped
TXNRD.10.selenocysteine	ENSVXQP00000042160	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000042253	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000042266	Stop codon
TXNRD.10.selenocysteine	ENSVXQP00000042286	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007680	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007687	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007694	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007698	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007730	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007737	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007739	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007742	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007744	Stop codon
TXNRD.22.selenocysteine	ENSVXQP00000007752	Stop codon
TXNRD.30.selenocysteine	ENSVXQP00000029376	Stop codon
