transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02960000410	Downstream
DIO.1.selenocysteine	ENSP02960000411	Well annotated
DIO.3.selenocysteine	ENSP02960009923	Well annotated
DIO.3.selenocysteine	ENSP02960009924	Well annotated
DIO.3.selenocysteine	ENSP02960009926	Upstream
DIO.3.selenocysteine	ENSP02960009927	Out of frame
DIO.3.selenocysteine	ENSP02960009929	Upstream
DIO.3.selenocysteine	ENSP02960009930	Upstream
DIO.3.selenocysteine	ENSP02960009931	Upstream
DIO.4.selenocysteine	ENSP02960039046	Well annotated
DIO.4.selenocysteine	ENSP02960039047	Well annotated
DIO.4.selenocysteine	ENSP02960039049	Well annotated
DIO.4.selenocysteine	ENSP02960039051	Out of frame
DIO.4.selenocysteine	ENSP02960039053	Out of frame
DIO.4.selenocysteine	ENSP02960039055	Upstream
DIO.4.selenocysteine	ENSP02960039056	Out of frame
DIO.4.selenocysteine	ENSP02960039058	Skipped
DIO.4.selenocysteine	ENSP02960039059	Downstream
DIO.4.selenocysteine	ENSP02960039060	Well annotated
DIO.4.selenocysteine	ENSP02960039061	Upstream
DIO.4.selenocysteine	ENSP02960039062	Upstream
GPX.16.selenocysteine	ENSP02960004850	Well annotated
GPX.16.selenocysteine	ENSP02960004851	Well annotated
GPX.21.selenocysteine	ENSP02960092460	Well annotated
GPX.21.selenocysteine	ENSP02960092461	Well annotated
GPX.21.selenocysteine	ENSP02960092462	Upstream
GPX.21.selenocysteine	ENSP02960092464	Upstream
GPX.21.selenocysteine	ENSP02960092466	Out of frame
GPX.25.selenocysteine	ENSP02960052307	Well annotated
GPX.25.selenocysteine	ENSP02960052308	Well annotated
GPX.25.selenocysteine	ENSP02960052309	Well annotated
GPX.25.selenocysteine	ENSP02960052310	Well annotated
GPX.25.selenocysteine	ENSP02960052311	Well annotated
GPX.25.selenocysteine	ENSP02960052312	Well annotated
GPX.25.selenocysteine	ENSP02960052313	Well annotated
GPX.25.selenocysteine	ENSP02960052314	Downstream
GPX.25.selenocysteine	ENSP02960052315	Well annotated
GPX.25.selenocysteine	ENSP02960052316	Well annotated
GPX.25.selenocysteine	ENSP02960052317	Well annotated
GPX.25.selenocysteine	ENSP02960052318	Downstream
GPX.3.selenocysteine	ENSP02960094817	Well annotated
GPX.3.selenocysteine	ENSP02960094818	Well annotated
GPX.3.selenocysteine	ENSP02960094819	Skipped
GPX.3.selenocysteine	ENSP02960094820	Well annotated
GPX.3.selenocysteine	ENSP02960094821	Well annotated
GPX.3.selenocysteine	ENSP02960094822	Well annotated
GPX.3.selenocysteine	ENSP02960094823	Skipped
GPX.3.selenocysteine	ENSP02960094824	Well annotated
GPX.3.selenocysteine	ENSP02960094825	Well annotated
GPX.3.selenocysteine	ENSP02960094826	Well annotated
GPX.3.selenocysteine	ENSP02960094827	Well annotated
GPX.3.selenocysteine	ENSP02960094828	Upstream
GPX.3.selenocysteine	ENSP02960094829	Well annotated
GPX.3.selenocysteine	ENSP02960094830	Well annotated
GPX.5.selenocysteine	ENSP02960074778	Well annotated
GPX.5.selenocysteine	ENSP02960074779	Well annotated
GPX.5.selenocysteine	ENSP02960074780	Skipped
GPX.5.selenocysteine	ENSP02960074781	Well annotated
MSRB.3.selenocysteine	ENSP02960069100	Well annotated
MSRB.3.selenocysteine	ENSP02960069101	Upstream
MSRB.3.selenocysteine	ENSP02960069102	Out of frame
MSRB.3.selenocysteine	ENSP02960069103	Out of frame
SELENOF.3.selenocysteine	ENSP02960061261	Well annotated
SELENOF.3.selenocysteine	ENSP02960061262	Well annotated
SELENOF.3.selenocysteine	ENSP02960061263	Well annotated
SELENOF.3.selenocysteine	ENSP02960061264	Out of frame
SELENOF.3.selenocysteine	ENSP02960061265	Out of frame
SELENOH.2.selenocysteine	ENSP02960060282	Well annotated
SELENOH.2.selenocysteine	ENSP02960060283	Well annotated
SELENOH.2.selenocysteine	ENSP02960060284	Out of frame
SELENOI.3.selenocysteine	ENSP02960034203	Upstream
SELENOI.3.selenocysteine	ENSP02960034204	Well annotated
SELENOI.3.selenocysteine	ENSP02960034205	Upstream
SELENOK.7.selenocysteine	ENSP02960044895	Well annotated
SELENOK.7.selenocysteine	ENSP02960044896	Out of frame
SELENOM.2.selenocysteine	ENSP02960054809	Well annotated
SELENOM.2.selenocysteine	ENSP02960054810	Well annotated
SELENON.4.selenocysteine	ENSP02960064762	Well annotated
SELENON.4.selenocysteine	ENSP02960064763	Well annotated
SELENON.4.selenocysteine	ENSP02960064764	Well annotated
SELENON.4.selenocysteine	ENSP02960064765	Well annotated
SELENOO.7.selenocysteine	ENSP02960100087	Well annotated
SELENOP.3.selenocysteine	ENSP02960050796	Well annotated
SELENOP.3.selenocysteine	ENSP02960050797	Well annotated
SELENOP.3.selenocysteine	ENSP02960050798	Well annotated
SELENOP.3.selenocysteine	ENSP02960050799	Well annotated
SELENOP.3.selenocysteine	ENSP02960050800	Well annotated
SELENOP.3.selenocysteine	ENSP02960050801	Well annotated
SELENOS.2.selenocysteine	ENSP02960063397	Well annotated
SELENOS.2.selenocysteine	ENSP02960063398	Well annotated
SELENOS.2.selenocysteine	ENSP02960063399	Well annotated
SELENOS.2.selenocysteine	ENSP02960063400	Upstream
SELENOT.5.selenocysteine	ENSP02960006506	Downstream
SELENOT.5.selenocysteine	ENSP02960006508	Downstream
SELENOT.5.selenocysteine	ENSP02960006509	Well annotated
SELENOT.5.selenocysteine	ENSP02960006511	Upstream
SELENOT.5.selenocysteine	ENSP02960006512	Downstream
SELENOW.3.selenocysteine	ENSP02960090155	Well annotated
SELENOW.4.selenocysteine	ENSP02960073917	Well annotated
SELENOW.4.selenocysteine	ENSP02960073919	Well annotated
SELENOW.4.selenocysteine	ENSP02960073920	Well annotated
SELENOW.4.selenocysteine	ENSP02960073921	Well annotated
SEPHS2.1.selenocysteine	ENSP02960003191	Well annotated
TXNRD.10.selenocysteine	ENSP02960110472	Upstream
TXNRD.10.selenocysteine	ENSP02960110473	Upstream
TXNRD.10.selenocysteine	ENSP02960110474	Well annotated
TXNRD.10.selenocysteine	ENSP02960110475	Upstream
TXNRD.10.selenocysteine	ENSP02960110476	Upstream
TXNRD.10.selenocysteine	ENSP02960110477	Upstream
TXNRD.10.selenocysteine	ENSP02960110478	Well annotated
TXNRD.10.selenocysteine	ENSP02960110479	Well annotated
TXNRD.10.selenocysteine	ENSP02960110480	Upstream
TXNRD.10.selenocysteine	ENSP02960110481	Well annotated
TXNRD.10.selenocysteine	ENSP02960110482	Upstream
TXNRD.10.selenocysteine	ENSP02960110483	Well annotated
TXNRD.10.selenocysteine	ENSP02960110484	Well annotated
TXNRD.10.selenocysteine	ENSP02960110485	Upstream
TXNRD.10.selenocysteine	ENSP02960110486	Well annotated
TXNRD.13.selenocysteine	ENSP02960045800	Well annotated
TXNRD.13.selenocysteine	ENSP02960045804	Well annotated
TXNRD.34.selenocysteine	ENSP02960091464	Well annotated
TXNRD.34.selenocysteine	ENSP02960091467	Well annotated
TXNRD.34.selenocysteine	ENSP02960091469	Out of frame
TXNRD.34.selenocysteine	ENSP02960091470	Well annotated
TXNRD.34.selenocysteine	ENSP02960091472	Well annotated
TXNRD.34.selenocysteine	ENSP02960091474	Well annotated
TXNRD.34.selenocysteine	ENSP02960091476	Well annotated
TXNRD.34.selenocysteine	ENSP02960091478	Well annotated
TXNRD.34.selenocysteine	ENSP02960091479	Well annotated
TXNRD.34.selenocysteine	ENSP02960091481	Well annotated
TXNRD.34.selenocysteine	ENSP02960091482	Upstream
TXNRD.34.selenocysteine	ENSP02960091483	Upstream
