transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSPMMP00005005291	Stop codon
DIO.2.selenocysteine	ENSPMMP00005004011	Skipped
DIO.3.selenocysteine	ENSPMMP00005003698	Downstream
DIO.4.selenocysteine	ENSPMMP00005023271	Skipped
FrnE.1.selenocysteine	ENSPMMP00005047423	Downstream
GPX.2.selenocysteine	ENSPMMP00005032966	Downstream
GPX.20.selenocysteine	ENSPMMP00005042830	Skipped
GPX.20.selenocysteine	ENSPMMP00005042836	Skipped
GPX.22.selenocysteine	ENSPMMP00005021363	Skipped
GPX.22.selenocysteine	ENSPMMP00005021366	Skipped
GPX.22.selenocysteine	ENSPMMP00005021371	Stop codon
GPX.22.selenocysteine	ENSPMMP00005021376	Stop codon
GPX.3.selenocysteine	ENSPMMP00005043052	Downstream
GPX.3.selenocysteine	ENSPMMP00005045636	Skipped
GPX.4.selenocysteine	ENSPMMP00005040706	Skipped
GPX.4.selenocysteine	ENSPMMP00005040714	Downstream
GPX.4.selenocysteine	ENSPMMP00005040719	Downstream
GPX.8.selenocysteine	ENSPMMP00005040937	Downstream
MSRB.5.selenocysteine	ENSPMMP00005037378	Stop codon
MsrA.6.selenocysteine	ENSPMMP00005032698	Skipped
SELENOL.2.selenocysteine	ENSPMMP00005031103	Stop codon
SELENOL.2.selenocysteine	ENSPMMP00005031110	Stop codon
SELENOL.2.selenocysteine	ENSPMMP00005034993	Downstream
SELENON.1.selenocysteine	ENSPMMP00005030593	Downstream
SELENON.1.selenocysteine	ENSPMMP00005030603	Skipped
SELENON.1.selenocysteine	ENSPMMP00005030615	Stop codon
SELENON.1.selenocysteine	ENSPMMP00005030621	Stop codon
SELENON.1.selenocysteine	ENSPMMP00005030625	Stop codon
SELENON.12.selenocysteine	ENSPMMP00005022804	Stop codon
SELENON.12.selenocysteine	ENSPMMP00005022810	Skipped
SELENON.12.selenocysteine	ENSPMMP00005022818	Stop codon
SELENON.12.selenocysteine	ENSPMMP00005022824	Stop codon
SELENOO.14.selenocysteine	ENSPMMP00005039981	Stop codon
SELENOO.14.selenocysteine	ENSPMMP00005039990	Stop codon
SELENOT.1.selenocysteine	ENSPMMP00005049086	Downstream
SELENOT.1.selenocysteine	ENSPMMP00005049095	Downstream
SELENOU.9.selenocysteine	ENSPMMP00005037152	Downstream
SELENOU.9.selenocysteine	ENSPMMP00005038610	Stop codon
SEPHS2.1.selenocysteine	ENSPMMP00005017074	Skipped
SEPHS2.1.selenocysteine	ENSPMMP00005017082	Downstream
TXNRD.23.selenocysteine	ENSPMMP00005002443	Upstream
TXNRD.23.selenocysteine	ENSPMMP00005002457	Stop codon
TXNRD.23.selenocysteine	ENSPMMP00005002460	Stop codon
TXNRD.23.selenocysteine	ENSPMMP00005002466	Stop codon
