transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_059330439.1	Well annotated
DIO.3.selenocysteine	cds-XP_059330845.1	Well annotated
DIO.4.selenocysteine	cds-XP_059334678.1	Well annotated
DIO.4.selenocysteine	cds-XP_059334679.1	Well annotated
GPX.1.selenocysteine	cds-XP_059331303.1	Well annotated
GPX.3.selenocysteine	cds-XP_059336344.1	Well annotated
GPX.5.selenocysteine	cds-XP_059339635.1	Well annotated
GPX.6.selenocysteine	cds-XP_059345733.1	Well annotated
MSRB.1.selenocysteine	cds-XP_059340252.1	Well annotated
MSRB.1.selenocysteine	cds-XP_059340254.1	Upstream
SELENOF.3.selenocysteine	cds-XP_059334242.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_059330961.1	Well annotated
SELENOI.7.selenocysteine	cds-XP_059325064.1	Stop codon
SELENOI.7.selenocysteine	cds-XP_059325065.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_059336100.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_059341207.1	Well annotated
SELENON.5.selenocysteine	cds-XP_059344539.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_059328393.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_059334766.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_059349158.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_059349159.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_059338072.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_059335469.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332835.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332836.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332837.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332838.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332839.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332840.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_059332841.1	Well annotated
SEPHS2.7.selenocysteine	cds-XP_059347533.1	Well annotated
TXNRD.11.selenocysteine	cds-XP_059335793.1	Stop codon
TXNRD.11.selenocysteine	cds-XP_059335794.1	Stop codon
TXNRD.20.selenocysteine	cds-XP_059328133.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_059341471.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_059341472.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_059341473.1	Stop codon
