transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04690000002	Downstream
DIO.1.selenocysteine	ENSP05185017241	Well annotated
DIO.3.selenocysteine	ENSP04690006736	Upstream
DIO.3.selenocysteine	ENSP05185051352	Well annotated
DIO.3.selenocysteine	ENSP05185051353	Well annotated
DIO.3.selenocysteine	ENSP05185051356	Out of frame
DIO.3.selenocysteine	ENSP05185051358	Upstream
DIO.3.selenocysteine	ENSP05185051359	Upstream
DIO.3.selenocysteine	ENSP05185051360	Upstream
DIO.4.selenocysteine	ENSP04690103199	Out of frame
DIO.4.selenocysteine	ENSP04690103200	Out of frame
DIO.4.selenocysteine	ENSP04690103201	Upstream
DIO.4.selenocysteine	ENSP04690103203	Out of frame
DIO.4.selenocysteine	ENSP04690103209	Upstream
DIO.4.selenocysteine	ENSP05185050077	Well annotated
DIO.4.selenocysteine	ENSP05185050079	Well annotated
DIO.4.selenocysteine	ENSP05185050081	Well annotated
DIO.4.selenocysteine	ENSP05185050091	Upstream
DIO.4.selenocysteine	ENSP05185050092	Well annotated
DIO.4.selenocysteine	ENSP05185050095	Downstream
DIO.4.selenocysteine	ENSP05185050097	Skipped
GPX.11.selenocysteine	ENSP04690036872	Well annotated
GPX.11.selenocysteine	ENSP04690036876	Well annotated
GPX.11.selenocysteine	ENSP04690036879	Downstream
GPX.11.selenocysteine	ENSP04690036883	Downstream
GPX.11.selenocysteine	ENSP05185006562	Well annotated
GPX.11.selenocysteine	ENSP05185006563	Well annotated
GPX.11.selenocysteine	ENSP05185006565	Well annotated
GPX.11.selenocysteine	ENSP05185006568	Well annotated
GPX.11.selenocysteine	ENSP05185006570	Well annotated
GPX.11.selenocysteine	ENSP05185006572	Well annotated
GPX.11.selenocysteine	ENSP05185006574	Well annotated
GPX.11.selenocysteine	ENSP05185006576	Well annotated
GPX.16.selenocysteine	ENSP04690075897	Upstream
GPX.16.selenocysteine	ENSP05185089924	Well annotated
GPX.16.selenocysteine	ENSP05185089925	Well annotated
GPX.16.selenocysteine	ENSP05185089927	Upstream
GPX.16.selenocysteine	ENSP05185089928	Out of frame
GPX.18.selenocysteine	ENSP05185001594	Well annotated
GPX.18.selenocysteine	ENSP05185001595	Well annotated
GPX.3.selenocysteine	ENSP04690102278	Well annotated
GPX.3.selenocysteine	ENSP04690102279	Well annotated
GPX.3.selenocysteine	ENSP04690102280	Skipped
GPX.3.selenocysteine	ENSP04690102285	Well annotated
GPX.3.selenocysteine	ENSP04690102287	Well annotated
GPX.3.selenocysteine	ENSP04690102288	Well annotated
GPX.3.selenocysteine	ENSP04690102289	Upstream
GPX.3.selenocysteine	ENSP04690102290	Well annotated
GPX.3.selenocysteine	ENSP04690102291	Well annotated
GPX.3.selenocysteine	ENSP05185077411	Well annotated
GPX.3.selenocysteine	ENSP05185077412	Well annotated
GPX.3.selenocysteine	ENSP05185077413	Skipped
GPX.3.selenocysteine	ENSP05185077414	Well annotated
GPX.3.selenocysteine	ENSP05185077415	Well annotated
GPX.5.selenocysteine	ENSP04690024786	Well annotated
GPX.5.selenocysteine	ENSP04690024789	Well annotated
GPX.5.selenocysteine	ENSP05185027738	Well annotated
GPX.5.selenocysteine	ENSP05185027739	Skipped
MSRB.2.selenocysteine	ENSP05185089097	Well annotated
MSRB.2.selenocysteine	ENSP05185089098	Upstream
MSRB.2.selenocysteine	ENSP05185089099	Out of frame
MSRB.2.selenocysteine	ENSP05185089100	Out of frame
SELENOF.3.selenocysteine	ENSP04690074332	Well annotated
SELENOF.3.selenocysteine	ENSP05185078983	Well annotated
SELENOF.3.selenocysteine	ENSP05185078985	Well annotated
SELENOF.3.selenocysteine	ENSP05185078988	Out of frame
SELENOF.3.selenocysteine	ENSP05185078990	Out of frame
SELENOH.2.selenocysteine	ENSP05185011902	Well annotated
SELENOH.2.selenocysteine	ENSP05185011903	Well annotated
SELENOH.2.selenocysteine	ENSP05185011904	Out of frame
SELENOI.3.selenocysteine	ENSP05185028152	Upstream
SELENOI.3.selenocysteine	ENSP05185028154	Well annotated
SELENOI.3.selenocysteine	ENSP05185028156	Upstream
SELENOK.7.selenocysteine	ENSP04690095596	Out of frame
SELENOK.7.selenocysteine	ENSP05185064454	Well annotated
SELENOM.2.selenocysteine	ENSP05185021117	Well annotated
