transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSHJSP00000036485	Downstream
DIO.3.selenocysteine	ENSHJSP00000012059	Stop codon
DIO.3.selenocysteine	ENSHJSP00000012066	Downstream
DIO.4.selenocysteine	ENSHJSP00000025448	Stop codon
DIO.4.selenocysteine	ENSHJSP00000044049	Downstream
DIO.5.selenocysteine	ENSHJSP00000052930	Downstream
DIO.5.selenocysteine	ENSHJSP00000052936	Stop codon
GPX.1.selenocysteine	ENSHJSP00000025466	Stop codon
GPX.1.selenocysteine	ENSHJSP00000062788	Downstream
GPX.10.selenocysteine	ENSHJSP00000049654	Downstream
GPX.14.selenocysteine	ENSHJSP00000022577	Downstream
GPX.17.selenocysteine	ENSHJSP00000032494	Downstream
GPX.17.selenocysteine	ENSHJSP00000032514	Stop codon
GPX.21.selenocysteine	ENSHJSP00000015324	Downstream
GPX.3.selenocysteine	ENSHJSP00000062524	Skipped
GPX.3.selenocysteine	ENSHJSP00000062525	Downstream
GPX.5.selenocysteine	ENSHJSP00000003531	Stop codon
GPX.5.selenocysteine	ENSHJSP00000003533	Downstream
GPX.8.selenocysteine	ENSHJSP00000056625	Downstream
GPX.9.selenocysteine	ENSHJSP00000040346	Stop codon
MSRB.2.selenocysteine	ENSHJSP00000010727	Upstream
MSRB.2.selenocysteine	ENSHJSP00000011789	Stop codon
MSRB.5.selenocysteine	ENSHJSP00000040099	Stop codon
SELENOE.2.selenocysteine	ENSHJSP00000014366	Downstream
SELENOF.1.selenocysteine	ENSHJSP00000044310	Upstream
SELENOJ.10.selenocysteine	ENSHJSP00000014474	Stop codon
SELENOJ.10.selenocysteine	ENSHJSP00000014630	Skipped
SELENOJ.2.selenocysteine	ENSHJSP00000035378	Skipped
SELENOK.1.selenocysteine	ENSHJSP00000052802	Stop codon
SELENOK.2.selenocysteine	ENSHJSP00000064576	Stop codon
SELENOO.1.selenocysteine	ENSHJSP00000045001	Stop codon
SELENOO.15.selenocysteine	ENSHJSP00000045424	Stop codon
SELENOP.3.selenocysteine	ENSHJSP00000029151	Downstream
SELENOP.4.selenocysteine	ENSHJSP00000023325	Downstream
SELENOS.3.selenocysteine	ENSHJSP00000009473	Stop codon
SELENOT.5.selenocysteine	ENSHJSP00000030746	Downstream
SELENOT.8.selenocysteine	ENSHJSP00000056562	Upstream
SELENOU.10.selenocysteine	ENSHJSP00000059905	Stop codon
SELENOU.10.selenocysteine	ENSHJSP00000059908	Stop codon
SELENOU.10.selenocysteine	ENSHJSP00000060120	Downstream
SELENOU.11.selenocysteine	ENSHJSP00000062949	Downstream
SELENOU.11.selenocysteine	ENSHJSP00000062951	Downstream
SELENOU.7.selenocysteine	ENSHJSP00000059229	Stop codon
SELENOU.7.selenocysteine	ENSHJSP00000059231	Downstream
SEPHS2.1.selenocysteine	ENSHJSP00000046853	Skipped
SEPHS2.8.selenocysteine	ENSHJSP00000033888	Downstream
TXNRD.1.selenocysteine	ENSHJSP00000004290	Upstream
TXNRD.1.selenocysteine	ENSHJSP00000004293	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043411	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043436	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043579	Skipped
TXNRD.15.selenocysteine	ENSHJSP00000043590	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043596	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043622	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043626	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043634	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043662	Stop codon
TXNRD.15.selenocysteine	ENSHJSP00000043670	Stop codon
TXNRD.2.selenocysteine	ENSHJSP00000051874	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066630	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066631	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066632	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066633	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066634	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066635	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066636	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066638	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066639	Stop codon
TXNRD.39.selenocysteine	ENSHJSP00000066640	Stop codon
TXNRD.46.selenocysteine	ENSHJSP00000048533	Upstream
TXNRD.8.selenocysteine	ENSHJSP00000025826	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000025865	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000025871	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000025940	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000026080	Skipped
TXNRD.8.selenocysteine	ENSHJSP00000026097	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000026110	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000026137	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000026144	Stop codon
TXNRD.8.selenocysteine	ENSHJSP00000026153	Stop codon
