transcript_id	transcript_id_ens	Type_annotation
GPX.1.selenocysteine	cds-KAI6651467.1	Skipped
GPX.2.selenocysteine	cds-KAI6651468.1	Skipped
MSRB.1.selenocysteine	cds-KAI6651636.1	Stop codon
MsrA.2.selenocysteine	cds-KAI6657513.1	Downstream
SELENOM.1.selenocysteine	cds-KAI6661052.1	Skipped
SELENON.1.selenocysteine	cds-KAI6654765.1	Skipped
SELENOO.1.selenocysteine	cds-KAI6646551.1	Stop codon
SELENOT.3.selenocysteine	cds-KAI6654832.1	Downstream
SELENOU.4.selenocysteine	cds-KAI6659157.1	Downstream
SELENOU.5.selenocysteine	cds-KAI6654076.1	Downstream
SEPHS2.4.selenocysteine	cds-KAI6645773.1	Downstream
TXNRD.1.selenocysteine	cds-KAI6659385.1	Stop codon
