transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAG2457496.1	Downstream
DIO.2.selenocysteine	cds-KAG2457448.1	Skipped
DIO.5.selenocysteine	cds-KAG2461847.1	Skipped
GPX.15.selenocysteine	cds-KAG2455658.1	Downstream
GPX.2.selenocysteine	cds-KAG2470508.1	Downstream
GPX.4.selenocysteine	cds-KAG2457720.1	Downstream
MSRB.1.selenocysteine	cds-KAG2456183.1	Upstream
SELENOE.2.selenocysteine	cds-KAG2470662.1	Skipped
SELENOH.1.selenocysteine	cds-GTO96_0003737	Upstream
SELENOJ.5.selenocysteine	cds-KAG2461635.1	Skipped
SELENOM.2.selenocysteine	cds-KAG2471022.1	Downstream
SELENON.5.selenocysteine	cds-KAG2460957.1	Skipped
SELENOO.11.selenocysteine	cds-GTO96_0004838	Stop codon
SELENOO.2.selenocysteine	cds-KAG2469110.1	Stop codon
SELENOP.4.selenocysteine	cds-KAG2466711.1	Downstream
SELENOS.4.selenocysteine	cds-KAG2471413.1	Stop codon
SELENOT.11.selenocysteine	cds-KAG2463546.1	Skipped
SELENOT.3.selenocysteine	cds-KAG2462224.1	Downstream
SELENOU.6.selenocysteine	cds-KAG2462462.1	Stop codon
SEPHS2.6.selenocysteine	cds-KAG2461207.1	Downstream
TXNRD.12.selenocysteine	cds-KAG2471048.1	Upstream
TXNRD.12.selenocysteine	cds-KAG2471051.1	Upstream
TXNRD.19.selenocysteine	cds-KAG2470902.1	Upstream
TXNRD.32.selenocysteine	cds-KAG2459916.1	Upstream
