transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAK9409434.1	Downstream
DIO.1.selenocysteine	cds-KAK9409435.1	Stop codon
DIO.3.selenocysteine	cds-KAK9409529.1	Stop codon
DIO.3.selenocysteine	cds-KAK9409530.1	Downstream
DIO.4.selenocysteine	cds-KAK9404230.1	Stop codon
GPX.12.selenocysteine	cds-KAK9410402.1	Downstream
GPX.15.selenocysteine	cds-KAK9409054.1	Stop codon
GPX.15.selenocysteine	cds-KAK9409055.1	Downstream
GPX.4.selenocysteine	cds-KAK9406354.1	Skipped
GPX.7.selenocysteine	cds-KAK9406477.1	Skipped
MSRB.1.selenocysteine	cds-KAK9393386.1	Skipped
SELENOF.3.selenocysteine	cds-KAK9404087.1	Upstream
SELENOF.3.selenocysteine	cds-KAK9404088.1	Out of frame
SELENOH.1.selenocysteine	cds-KAK9410289.1	Upstream
SELENOI.2.selenocysteine	cds-KAK9412277.1	Stop codon
SELENOK.1.selenocysteine	cds-KAK9406200.1	Out of frame
SELENOM.1.selenocysteine	cds-KAK9391692.1	Downstream
SELENON.10.selenocysteine	cds-KAK9394745.1	Skipped
SELENOO.1.selenocysteine	cds-KAK9399526.1	Stop codon
SELENOP.1.selenocysteine	cds-KAK9408577.1	Skipped
SELENOP.5.selenocysteine	cds-KAK9404328.1	Out of frame
SELENOS.7.selenocysteine	cds-KAK9394074.1	Stop codon
SELENOT.3.selenocysteine	cds-KAK9401210.1	Downstream
SELENOU.8.selenocysteine	cds-KAK9400472.1	Skipped
SEPHS2.3.selenocysteine	cds-KAK9407658.1	Out of frame
TXNRD.12.selenocysteine	cds-KAK9406138.1	Stop codon
TXNRD.25.selenocysteine	cds-KAK9400015.1	Stop codon
TXNRD.34.selenocysteine	cds-KAK9391543.1	Upstream
TXNRD.34.selenocysteine	cds-KAK9391544.1	Upstream
