transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04420038635	Downstream
DIO.1.selenocysteine	ENSP04850049774	Well annotated
DIO.3.selenocysteine	ENSP04420034617	Upstream
DIO.3.selenocysteine	ENSP04850023823	Well annotated
DIO.3.selenocysteine	ENSP04850023824	Well annotated
DIO.3.selenocysteine	ENSP04850023828	Out of frame
DIO.3.selenocysteine	ENSP04850023831	Upstream
DIO.3.selenocysteine	ENSP04850023832	Upstream
DIO.3.selenocysteine	ENSP04850023834	Upstream
DIO.4.selenocysteine	ENSP04420068922	Out of frame
DIO.4.selenocysteine	ENSP04420068923	Out of frame
DIO.4.selenocysteine	ENSP04420068924	Upstream
DIO.4.selenocysteine	ENSP04420068925	Out of frame
DIO.4.selenocysteine	ENSP04420068929	Upstream
DIO.4.selenocysteine	ENSP04850070765	Well annotated
DIO.4.selenocysteine	ENSP04850070766	Well annotated
DIO.4.selenocysteine	ENSP04850070768	Well annotated
DIO.4.selenocysteine	ENSP04850070776	Upstream
DIO.4.selenocysteine	ENSP04850070777	Well annotated
DIO.4.selenocysteine	ENSP04850070779	Downstream
DIO.4.selenocysteine	ENSP04850070780	Skipped
GPX.11.selenocysteine	ENSP04420003302	Well annotated
GPX.11.selenocysteine	ENSP04420003306	Well annotated
GPX.11.selenocysteine	ENSP04420003309	Downstream
GPX.11.selenocysteine	ENSP04420003313	Downstream
GPX.11.selenocysteine	ENSP04850007169	Well annotated
GPX.11.selenocysteine	ENSP04850007171	Well annotated
GPX.11.selenocysteine	ENSP04850007173	Well annotated
GPX.11.selenocysteine	ENSP04850007174	Well annotated
GPX.11.selenocysteine	ENSP04850007175	Well annotated
GPX.11.selenocysteine	ENSP04850007176	Well annotated
GPX.11.selenocysteine	ENSP04850007179	Well annotated
GPX.11.selenocysteine	ENSP04850007181	Well annotated
GPX.16.selenocysteine	ENSP04420083069	Upstream
GPX.16.selenocysteine	ENSP04850097470	Well annotated
GPX.16.selenocysteine	ENSP04850097471	Well annotated
GPX.16.selenocysteine	ENSP04850097473	Upstream
GPX.16.selenocysteine	ENSP04850097474	Out of frame
GPX.18.selenocysteine	ENSP04850042145	Well annotated
