transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP03870043483	Downstream
DIO.1.selenocysteine	ENSP03870043504	Well annotated
DIO.3.selenocysteine	ENSP03870023348	Well annotated
DIO.3.selenocysteine	ENSP03870023388	Well annotated
DIO.3.selenocysteine	ENSP03870023425	Upstream
DIO.3.selenocysteine	ENSP03870023457	Out of frame
DIO.3.selenocysteine	ENSP03870023489	Upstream
DIO.3.selenocysteine	ENSP03870023510	Upstream
DIO.3.selenocysteine	ENSP03870023535	Upstream
DIO.4.selenocysteine	ENSP03870044947	Well annotated
DIO.4.selenocysteine	ENSP03870044985	Well annotated
DIO.4.selenocysteine	ENSP03870045021	Well annotated
DIO.4.selenocysteine	ENSP03870045052	Out of frame
DIO.4.selenocysteine	ENSP03870045079	Out of frame
DIO.4.selenocysteine	ENSP03870045106	Upstream
DIO.4.selenocysteine	ENSP03870045141	Out of frame
DIO.4.selenocysteine	ENSP03870045166	Skipped
DIO.4.selenocysteine	ENSP03870045186	Downstream
DIO.4.selenocysteine	ENSP03870045214	Well annotated
DIO.4.selenocysteine	ENSP03870045247	Upstream
DIO.4.selenocysteine	ENSP03870045281	Upstream
GPX.10.selenocysteine	ENSP03870040736	Well annotated
GPX.10.selenocysteine	ENSP03870040776	Well annotated
GPX.10.selenocysteine	ENSP03870040821	Well annotated
GPX.10.selenocysteine	ENSP03870040856	Well annotated
GPX.10.selenocysteine	ENSP03870040901	Well annotated
GPX.10.selenocysteine	ENSP03870040920	Well annotated
GPX.10.selenocysteine	ENSP03870040966	Well annotated
GPX.10.selenocysteine	ENSP03870041015	Downstream
GPX.10.selenocysteine	ENSP03870041046	Well annotated
GPX.10.selenocysteine	ENSP03870041082	Well annotated
GPX.10.selenocysteine	ENSP03870041115	Well annotated
GPX.10.selenocysteine	ENSP03870041216	Downstream
GPX.12.selenocysteine	ENSP03870070427	Well annotated
GPX.12.selenocysteine	ENSP03870070475	Well annotated
GPX.12.selenocysteine	ENSP03870070505	Upstream
GPX.12.selenocysteine	ENSP03870070525	Upstream
GPX.12.selenocysteine	ENSP03870070560	Out of frame
GPX.2.selenocysteine	ENSP03870097470	Well annotated
GPX.2.selenocysteine	ENSP03870097476	Well annotated
GPX.2.selenocysteine	ENSP03870097484	Skipped
GPX.2.selenocysteine	ENSP03870097492	Well annotated
GPX.2.selenocysteine	ENSP03870097501	Well annotated
GPX.2.selenocysteine	ENSP03870097507	Well annotated
