transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_021456597.1	Well annotated
DIO.10.selenocysteine	cds-XP_021459026.2	Well annotated
DIO.2.selenocysteine	cds-XP_021430472.2	Well annotated
DIO.4.selenocysteine	cds-NP_001117740.1	Well annotated
GPX.10.selenocysteine	cds-XP_021430100.1	Well annotated
GPX.13.selenocysteine	cds-XP_021441232.1	Well annotated
GPX.13.selenocysteine	cds-XP_021441299.1	Well annotated
GPX.16.selenocysteine	cds-XP_036844202.1	Downstream
GPX.25.selenocysteine	cds-XP_036799352.1	Well annotated
GPX.3.selenocysteine	cds-XP_021425646.1	Downstream
GPX.6.selenocysteine	cds-NP_001117997.2	Well annotated
MSRB.10.selenocysteine	cds-XP_036828872.1	Well annotated
MSRB.14.selenocysteine	cds-XP_036797457.1	Well annotated
MSRB.18.selenocysteine	cds-XP_036811909.1	Well annotated
SELENOE.3.selenocysteine	cds-NP_001182707.1	Well annotated
SELENOF.4.selenocysteine	cds-NP_001117926.2	Well annotated
SELENOH.1.selenocysteine	cds-XP_021439661.2	Well annotated
SELENOI.4.selenocysteine	cds-XP_036840433.1	Well annotated
SELENOJ.8.selenocysteine	cds-NP_001154101.1	Upstream
SELENOK.1.selenocysteine	cds-XP_021471354.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_021471355.1	Stop codon
SELENOK.1.selenocysteine	cds-XP_036843879.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_036843880.1	Well annotated
SELENOL.5.selenocysteine	cds-NP_001180385.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_021477292.2	Well annotated
SELENON.5.selenocysteine	cds-XP_021430421.2	Well annotated
SELENOO.1.selenocysteine	cds-XP_021430008.2	Well annotated
SELENOP.7.selenocysteine	cds-XP_021468960.1	Well annotated
SELENOP.7.selenocysteine	cds-XP_021468961.1	Well annotated
SELENOS.14.selenocysteine	cds-XP_036837169.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_036819823.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_021439236.1	Well annotated
SELENOT.7.selenocysteine	cds-XP_021445433.2	Well annotated
SELENOU.13.selenocysteine	cds-NP_001180475.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_021469926.2	Well annotated
SELENOU.9.selenocysteine	cds-XP_021469939.2	Well annotated
SELENOU.9.selenocysteine	cds-XP_021469946.2	Well annotated
SELENOU.9.selenocysteine	cds-XP_021469951.2	Well annotated
SELENOW.7.selenocysteine	cds-XP_021446992.1	Well annotated
SEPHS2.12.selenocysteine	cds-XP_021472691.2	Downstream
TXNRD.2.selenocysteine	cds-XP_021424232.2	Stop codon
TXNRD.21.selenocysteine	cds-XP_021466284.2	Stop codon
TXNRD.26.selenocysteine	cds-XP_021461992.2	Stop codon
