transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAK2104779.1	Out of frame
GPX.1.selenocysteine	cds-KAK2108557.1	Skipped
GPX.20.selenocysteine	cds-KAK2081837.1	Skipped
GPX.21.selenocysteine	cds-KAK2084093.1	Skipped
GPX.25.selenocysteine	cds-KAK2091128.1	Skipped
GPX.33.selenocysteine	cds-KAK2086835.1	Skipped
MSRB.1.selenocysteine	cds-KAK2097374.1	Stop codon
SELENOH.2.selenocysteine	cds-KAK2100419.1	Skipped
SELENOI.3.selenocysteine	cds-KAK2092180.1	Upstream
SELENOI.3.selenocysteine	cds-KAK2092181.1	Upstream
SELENOK.2.selenocysteine	cds-KAK2109049.1	Stop codon
SELENOM.1.selenocysteine	cds-KAK2094698.1	Skipped
SELENOM.3.selenocysteine	cds-KAK2121399.1	Skipped
SELENON.7.selenocysteine	cds-KAK2106205.1	Upstream
SELENON.7.selenocysteine	cds-KAK2106206.1	Stop codon
SELENON.7.selenocysteine	cds-KAK2106207.1	Downstream
SELENOO.1.selenocysteine	cds-KAK2121922.1	Upstream
SELENOO.1.selenocysteine	cds-KAK2121923.1	Upstream
SELENOO.1.selenocysteine	cds-KAK2121924.1	Stop codon
SELENOS.3.selenocysteine	cds-KAK2107629.1	Out of frame
SELENOW.5.selenocysteine	cds-KAK2088811.1	Downstream
SEPHS2.1.selenocysteine	cds-KAK2097867.1	Downstream
SEPHS2.2.selenocysteine	cds-KAK2086668.1	Downstream
