transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCMOP00005028145	Skipped
DIO.2.selenocysteine	ENSCMOP00005013068	Downstream
DIO.2.selenocysteine	ENSCMOP00005033951	Stop codon
DIO.4.selenocysteine	ENSCMOP00005013673	Skipped
DIO.6.selenocysteine	ENSCMOP00005059860	Skipped
GPX.11.selenocysteine	ENSCMOP00005048855	Downstream
GPX.18.selenocysteine	ENSCMOP00005028171	Skipped
GPX.19.selenocysteine	ENSCMOP00005017854	Downstream
GPX.19.selenocysteine	ENSCMOP00005017868	Well annotated
GPX.2.selenocysteine	ENSCMOP00005006035	Downstream
GPX.4.selenocysteine	ENSCMOP00005070853	Out of frame
GPX.7.selenocysteine	ENSCMOP00005056151	Downstream
GPX.7.selenocysteine	ENSCMOP00005056152	Downstream
MSRB.1.selenocysteine	ENSCMOP00005055023	Stop codon
MSRB.5.selenocysteine	ENSCMOP00005048332	Stop codon
SELENOE.3.selenocysteine	ENSCMOP00005010562	Skipped
SELENOF.1.selenocysteine	ENSCMOP00005028464	Skipped
SELENOI.4.selenocysteine	ENSCMOP00005055855	Upstream
SELENOI.4.selenocysteine	ENSCMOP00005055874	Skipped
SELENOI.4.selenocysteine	ENSCMOP00005055878	Skipped
SELENOI.4.selenocysteine	ENSCMOP00005055882	Skipped
SELENOI.4.selenocysteine	ENSCMOP00005055889	Stop codon
SELENOJ.2.selenocysteine	ENSCMOP00005053122	Skipped
SELENOM.3.selenocysteine	ENSCMOP00005020794	Downstream
SELENOM.3.selenocysteine	ENSCMOP00005020797	Skipped
SELENON.10.selenocysteine	ENSCMOP00005033625	Skipped
SELENON.10.selenocysteine	ENSCMOP00005033628	Skipped
SELENOO.10.selenocysteine	ENSCMOP00005049863	Stop codon
SELENOO.10.selenocysteine	ENSCMOP00005049869	Upstream
SELENOO.3.selenocysteine	ENSCMOP00005019854	Stop codon
SELENOO.3.selenocysteine	ENSCMOP00005019865	Stop codon
SELENOS.1.selenocysteine	ENSCMOP00005036761	Out of frame
SELENOS.1.selenocysteine	ENSCMOP00005036764	Stop codon
SELENOT.5.selenocysteine	ENSCMOP00005013866	Downstream
SELENOT.9.selenocysteine	ENSCMOP00005047759	Downstream
SELENOU.4.selenocysteine	ENSCMOP00005033837	Stop codon
SELENOU.4.selenocysteine	ENSCMOP00005033838	Downstream
SELENOU.8.selenocysteine	ENSCMOP00005018380	Out of frame
SELENOU.8.selenocysteine	ENSCMOP00005018388	Skipped
SELENOU.9.selenocysteine	ENSCMOP00005018388	Skipped
SELENOW.4.selenocysteine	ENSCMOP00005049498	Well annotated
SEPHS2.10.selenocysteine	ENSCMOP00005066563	Downstream
SEPHS2.10.selenocysteine	ENSCMOP00005066564	Downstream
TXNRD.18.selenocysteine	ENSCMOP00005039864	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039894	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039978	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039981	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039984	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039993	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039997	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005039999	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005040020	Stop codon
TXNRD.18.selenocysteine	ENSCMOP00005040022	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065415	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065643	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065646	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065649	Upstream
TXNRD.2.selenocysteine	ENSCMOP00005065697	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065737	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065742	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065744	Stop codon
TXNRD.2.selenocysteine	ENSCMOP00005065750	Well annotated
TXNRD.2.selenocysteine	ENSCMOP00005065751	Stop codon
