transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_025967201.1	Well annotated
DIO.3.selenocysteine	cds-XP_025967282.1	Well annotated
DIO.5.selenocysteine	cds-XP_025961570.1	Well annotated
DIO.5.selenocysteine	cds-XP_064372292.1	Well annotated
GPX.16.selenocysteine	cds-XP_025964052.2	Well annotated
GPX.2.selenocysteine	cds-XP_025972933.1	Well annotated
GPX.4.selenocysteine	cds-XP_025966370.2	Well annotated
GPX.6.selenocysteine	cds-XP_025974366.1	Well annotated
MSRB.1.selenocysteine	cds-XP_064376117.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_025972302.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_064369349.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_064369351.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_025976020.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_064364262.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_064364263.1	Stop codon
SELENOK.2.selenocysteine	cds-XP_025958615.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_064374980.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_025974941.2	Skipped
SELENOM.2.selenocysteine	cds-XP_064378427.1	Well annotated
SELENON.12.selenocysteine	cds-XP_064381134.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_025968817.2	Well annotated
SELENOP.4.selenocysteine	cds-XP_025971362.1	Well annotated
SELENOP.8.selenocysteine	cds-XP_025960343.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_064373968.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_064372522.1	Well annotated
SELENOU.13.selenocysteine	cds-XP_025972539.2	Well annotated
SEPHS2.3.selenocysteine	cds-XP_064359556.1	Downstream
TXNRD.17.selenocysteine	cds-XP_025973812.1	Stop codon
TXNRD.17.selenocysteine	cds-XP_025973813.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_025962659.2	Stop codon
TXNRD.34.selenocysteine	cds-XP_064378191.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_064378192.1	Stop codon
TXNRD.9.selenocysteine	cds-XP_025948872.1	Stop codon
