transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_014333626.1	Well annotated
DIO.3.selenocysteine	cds-XP_005907475.2	Well annotated
DIO.3.selenocysteine	cds-XP_070234536.1	Well annotated
DIO.3.selenocysteine	cds-XP_070234537.1	Well annotated
DIO.6.selenocysteine	cds-XP_005903653.2	Well annotated
GPX.10.selenocysteine	cds-XP_070230961.1	Well annotated
GPX.14.selenocysteine	cds-XP_005897391.2	Well annotated
GPX.2.selenocysteine	cds-XP_005909437.3	Well annotated
GPX.25.selenocysteine	cds-XP_005905367.2	Well annotated
GPX.4.selenocysteine	cds-XP_005909825.2	Well annotated
MSRB.2.selenocysteine	cds-XP_005886875.3	Well annotated
SELENOF.3.selenocysteine	cds-XP_005888485.2	Well annotated
SELENOH.2.selenocysteine	cds-XP_014332283.2	Well annotated
SELENOH.2.selenocysteine	cds-XP_070239239.1	Well annotated
SELENOI.10.selenocysteine	cds-XP_005895759.2	Well annotated
SELENOK.2.selenocysteine	cds-XP_005896526.2	Well annotated
SELENOM.1.selenocysteine	cds-XP_005908584.2	Well annotated
SELENOO.3.selenocysteine	cds-XP_070227499.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_005894930.3	Well annotated
SELENOS.3.selenocysteine	cds-XP_005899856.1	Stop codon
SELENOS.3.selenocysteine	cds-XP_070214243.1	Upstream
SELENOT.2.selenocysteine	cds-XP_005904855.3	Well annotated
SELENOW.1.selenocysteine	cds-XP_014337276.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_005890619.2	Well annotated
SELENOW.5.selenocysteine	cds-XP_005911745.2	Well annotated
SEPHS2.1.selenocysteine	cds-XP_005911841.2	Well annotated
TXNRD.16.selenocysteine	cds-XP_070215072.1	Stop codon
TXNRD.37.selenocysteine	cds-XP_070241762.1	Stop codon
TXNRD.37.selenocysteine	cds-XP_070241763.1	Stop codon
