transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSCAFP00040000091	Stop codon
DIO.5.selenocysteine	ENSCAFP00040001312	Well annotated
GPX.16.selenocysteine	ENSCAFP00040016406	Downstream
GPX.27.selenocysteine	ENSCAFP00040013220	Skipped
GPX.3.selenocysteine	ENSCAFP00040011764	Skipped
GPX.4.selenocysteine	ENSCAFP00040031560	Downstream
GPX.6.selenocysteine	ENSCAFP00040013753	Downstream
MSRB.1.selenocysteine	ENSCAFP00040002021	Stop codon
SELENOF.3.selenocysteine	ENSCAFP00040012719	Skipped
SELENOI.3.selenocysteine	ENSCAFP00040011722	Stop codon
SELENOK.3.selenocysteine	ENSCAFP00040027783	Stop codon
SELENOM.1.selenocysteine	ENSCAFP00040038146	Skipped
SELENON.1.selenocysteine	ENSCAFP00040000105	Skipped
SELENOO.4.selenocysteine	ENSCAFP00040029402	Stop codon
SELENOS.2.selenocysteine	ENSCAFP00040037157	Stop codon
SELENOS.2.selenocysteine	ENSCAFP00040037177	Stop codon
SELENOT.2.selenocysteine	ENSCAFP00040019666	Skipped
SELENOT.2.selenocysteine	ENSCAFP00040019720	Spliced
SELENOW.2.selenocysteine	ENSCAFP00040003107	Skipped
SELENOW.2.selenocysteine	ENSCAFP00040003115	Skipped
TXNRD.14.selenocysteine	ENSCAFP00040016378	Upstream
TXNRD.14.selenocysteine	ENSCAFP00040016421	Upstream
TXNRD.14.selenocysteine	ENSCAFP00040016513	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00040016605	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00040016717	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00040016854	Upstream
TXNRD.22.selenocysteine	ENSCAFP00040041975	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00040041980	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00040041984	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00040041990	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00040041997	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00040036362	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00040036389	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00040036422	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00040036471	Upstream
TXNRD.38.selenocysteine	ENSCAFP00040036552	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00040036617	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00040036665	Stop codon
