transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSERUP00020002465	Downstream
DIO.3.selenocysteine	ENSERUP00020001529	Stop codon
DIO.4.selenocysteine	ENSERUP00020014822	Downstream
GPX.1.selenocysteine	ENSERUP00020021041	Downstream
GPX.1.selenocysteine	ENSERUP00020021059	Out of frame
GPX.3.selenocysteine	ENSERUP00020000778	Skipped
GPX.3.selenocysteine	ENSERUP00020000785	Skipped
GPX.6.selenocysteine	ENSERUP00020018768	Skipped
GPX.6.selenocysteine	ENSERUP00020018785	Skipped
GPX.6.selenocysteine	ENSERUP00020018805	Skipped
SELENOF.3.selenocysteine	ENSERUP00020005654	Skipped
SELENOF.3.selenocysteine	ENSERUP00020005663	Skipped
SELENOI.4.selenocysteine	ENSERUP00020019162	Stop codon
SELENOK.2.selenocysteine	ENSERUP00020001440	Stop codon
SELENOM.2.selenocysteine	ENSERUP00020007683	Downstream
SELENON.5.selenocysteine	ENSERUP00020003296	Skipped
SELENOO.8.selenocysteine	ENSERUP00020016416	Stop codon
SELENOP.1.selenocysteine	ENSERUP00020000519	Out of frame
SELENOP.4.selenocysteine	ENSERUP00020014210	Downstream
SELENOS.4.selenocysteine	ENSERUP00020008075	Stop codon
SELENOS.4.selenocysteine	ENSERUP00020008078	Upstream
SELENOS.4.selenocysteine	ENSERUP00020008083	Upstream
SELENOT.2.selenocysteine	ENSERUP00020014112	Downstream
SELENOU.6.selenocysteine	ENSERUP00020002533	Skipped
SEPHS2.10.selenocysteine	ENSERUP00020012023	Downstream
TXNRD.10.selenocysteine	ENSERUP00020007244	Stop codon
TXNRD.22.selenocysteine	ENSERUP00020007931	Stop codon
TXNRD.34.selenocysteine	ENSERUP00020009818	Stop codon
