transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSVVAP00010026473	Well annotated
DIO.5.selenocysteine	ENSVVAP00010015564	Skipped
DIO.5.selenocysteine	ENSVVAP00010015570	Skipped
DIO.7.selenocysteine	ENSVVAP00010008665	Well annotated
DIO.7.selenocysteine	ENSVVAP00010008694	Skipped
DIO.7.selenocysteine	ENSVVAP00010008717	Skipped
DIO.7.selenocysteine	ENSVVAP00010008738	Skipped
DIO.7.selenocysteine	ENSVVAP00010008746	Skipped
GPX.13.selenocysteine	ENSVVAP00010026170	Skipped
GPX.13.selenocysteine	ENSVVAP00010026202	Skipped
GPX.13.selenocysteine	ENSVVAP00010026208	Skipped
GPX.13.selenocysteine	ENSVVAP00010026216	Skipped
GPX.15.selenocysteine	ENSVVAP00010026890	Skipped
GPX.15.selenocysteine	ENSVVAP00010026983	Skipped
GPX.15.selenocysteine	ENSVVAP00010027049	Skipped
GPX.15.selenocysteine	ENSVVAP00010027103	Skipped
GPX.15.selenocysteine	ENSVVAP00010027123	Skipped
GPX.15.selenocysteine	ENSVVAP00010027155	Skipped
GPX.15.selenocysteine	ENSVVAP00010027166	Skipped
GPX.15.selenocysteine	ENSVVAP00010027175	Skipped
GPX.15.selenocysteine	ENSVVAP00010027199	Skipped
GPX.15.selenocysteine	ENSVVAP00010027217	Skipped
GPX.20.selenocysteine	ENSVVAP00010026566	Downstream
GPX.4.selenocysteine	ENSVVAP00010016721	Skipped
GPX.7.selenocysteine	ENSVVAP00010023265	Skipped
GPX.9.selenocysteine	ENSVVAP00010008929	Skipped
MSRB.1.selenocysteine	ENSVVAP00010039963	Stop codon
MSRB.11.selenocysteine	ENSVVAP00010006471	Stop codon
MSRB.3.selenocysteine	ENSVVAP00010024287	Skipped
SELENOE.3.selenocysteine	ENSVVAP00010044154	Downstream
SELENOF.1.selenocysteine	ENSVVAP00010023874	Skipped
SELENOH.1.selenocysteine	ENSVVAP00010037755	Skipped
SELENOI.3.selenocysteine	ENSVVAP00010024000	Skipped
SELENOI.3.selenocysteine	ENSVVAP00010024014	Skipped
SELENOI.3.selenocysteine	ENSVVAP00010024030	Skipped
SELENOJ.10.selenocysteine	ENSVVAP00010014895	Skipped
SELENOJ.7.selenocysteine	ENSVVAP00010027988	Skipped
SELENOJ.7.selenocysteine	ENSVVAP00010027994	Skipped
SELENOK.1.selenocysteine	ENSVVAP00010033727	Stop codon
SELENOL.1.selenocysteine	ENSVVAP00010044254	Downstream
SELENOM.3.selenocysteine	ENSVVAP00010003038	Downstream
SELENON.9.selenocysteine	ENSVVAP00010016185	Skipped
SELENOO.1.selenocysteine	ENSVVAP00010019367	Stop codon
SELENOO.1.selenocysteine	ENSVVAP00010019391	Stop codon
SELENOP.3.selenocysteine	ENSVVAP00010034060	Skipped
SELENOS.2.selenocysteine	ENSVVAP00010011531	Stop codon
SELENOT.3.selenocysteine	ENSVVAP00010002876	Skipped
SELENOT.8.selenocysteine	ENSVVAP00010009826	Downstream
SELENOT.8.selenocysteine	ENSVVAP00010009837	Skipped
SELENOT.9.selenocysteine	ENSVVAP00010009878	Downstream
SELENOU.8.selenocysteine	ENSVVAP00010027958	Skipped
SELENOU.9.selenocysteine	ENSVVAP00010027949	Skipped
SEPHS2.10.selenocysteine	ENSVVAP00010033397	Skipped
TXNRD.10.selenocysteine	ENSVVAP00010003785	Stop codon
TXNRD.8.selenocysteine	ENSVVAP00010031586	Upstream
TXNRD.8.selenocysteine	ENSVVAP00010031612	Upstream
TXNRD.8.selenocysteine	ENSVVAP00010031626	Upstream
TXNRD.8.selenocysteine	ENSVVAP00010031636	Upstream
TXNRD.8.selenocysteine	ENSVVAP00010031652	Well annotated
