transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04670001768	Downstream
DIO.1.selenocysteine	ENSP05190018820	Well annotated
DIO.3.selenocysteine	ENSP04670009664	Upstream
DIO.3.selenocysteine	ENSP05190028511	Well annotated
DIO.3.selenocysteine	ENSP05190028512	Well annotated
DIO.3.selenocysteine	ENSP05190028515	Out of frame
DIO.3.selenocysteine	ENSP05190028517	Upstream
DIO.3.selenocysteine	ENSP05190028518	Upstream
DIO.3.selenocysteine	ENSP05190028519	Upstream
DIO.4.selenocysteine	ENSP04670109495	Out of frame
DIO.4.selenocysteine	ENSP04670109496	Out of frame
DIO.4.selenocysteine	ENSP04670109497	Upstream
DIO.4.selenocysteine	ENSP04670109498	Out of frame
DIO.4.selenocysteine	ENSP04670109502	Upstream
DIO.4.selenocysteine	ENSP05190064831	Well annotated
DIO.4.selenocysteine	ENSP05190064832	Well annotated
DIO.4.selenocysteine	ENSP05190064833	Well annotated
DIO.4.selenocysteine	ENSP05190064838	Upstream
DIO.4.selenocysteine	ENSP05190064839	Well annotated
DIO.4.selenocysteine	ENSP05190064841	Downstream
DIO.4.selenocysteine	ENSP05190064842	Skipped
GPX.11.selenocysteine	ENSP04670007348	Well annotated
GPX.11.selenocysteine	ENSP04670007352	Well annotated
GPX.11.selenocysteine	ENSP04670007355	Downstream
GPX.11.selenocysteine	ENSP04670007359	Downstream
GPX.11.selenocysteine	ENSP05190007642	Well annotated
GPX.11.selenocysteine	ENSP05190007643	Well annotated
GPX.11.selenocysteine	ENSP05190007644	Well annotated
GPX.11.selenocysteine	ENSP05190007645	Well annotated
GPX.11.selenocysteine	ENSP05190007646	Well annotated
GPX.11.selenocysteine	ENSP05190007647	Well annotated
GPX.11.selenocysteine	ENSP05190007648	Well annotated
GPX.11.selenocysteine	ENSP05190007649	Well annotated
GPX.16.selenocysteine	ENSP04670097688	Upstream
GPX.16.selenocysteine	ENSP05190088438	Well annotated
GPX.16.selenocysteine	ENSP05190088441	Well annotated
GPX.16.selenocysteine	ENSP05190088444	Upstream
GPX.16.selenocysteine	ENSP05190088445	Out of frame
GPX.18.selenocysteine	ENSP05190002841	Well annotated
GPX.18.selenocysteine	ENSP05190002842	Well annotated
GPX.3.selenocysteine	ENSP04670098639	Well annotated
GPX.3.selenocysteine	ENSP04670098640	Well annotated
GPX.3.selenocysteine	ENSP04670098641	Skipped
GPX.3.selenocysteine	ENSP04670098646	Well annotated
GPX.3.selenocysteine	ENSP04670098648	Well annotated
GPX.3.selenocysteine	ENSP04670098649	Well annotated
GPX.3.selenocysteine	ENSP04670098650	Upstream
GPX.3.selenocysteine	ENSP04670098651	Well annotated
GPX.3.selenocysteine	ENSP04670098652	Well annotated
GPX.3.selenocysteine	ENSP05190089193	Well annotated
GPX.3.selenocysteine	ENSP05190089194	Well annotated
GPX.3.selenocysteine	ENSP05190089195	Skipped
GPX.3.selenocysteine	ENSP05190089196	Well annotated
GPX.3.selenocysteine	ENSP05190089197	Well annotated
GPX.5.selenocysteine	ENSP04670015235	Well annotated
GPX.5.selenocysteine	ENSP04670015239	Well annotated
GPX.5.selenocysteine	ENSP05190072697	Well annotated
GPX.5.selenocysteine	ENSP05190072698	Skipped
MSRB.2.selenocysteine	ENSP05190100774	Well annotated
MSRB.2.selenocysteine	ENSP05190100775	Upstream
MSRB.2.selenocysteine	ENSP05190100776	Out of frame
MSRB.2.selenocysteine	ENSP05190100777	Out of frame
SELENOF.3.selenocysteine	ENSP04670099211	Well annotated
SELENOF.3.selenocysteine	ENSP05190071293	Well annotated
SELENOF.3.selenocysteine	ENSP05190071295	Well annotated
SELENOF.3.selenocysteine	ENSP05190071299	Out of frame
SELENOF.3.selenocysteine	ENSP05190071301	Out of frame
SELENOH.2.selenocysteine	ENSP05190021858	Well annotated
SELENOH.2.selenocysteine	ENSP05190021859	Well annotated
SELENOH.2.selenocysteine	ENSP05190021860	Out of frame
SELENOI.3.selenocysteine	ENSP05190031895	Upstream
SELENOI.3.selenocysteine	ENSP05190031897	Well annotated
SELENOI.3.selenocysteine	ENSP05190031899	Upstream
SELENOK.7.selenocysteine	ENSP04670103075	Out of frame
SELENOK.7.selenocysteine	ENSP05190069039	Well annotated
SELENOM.2.selenocysteine	ENSP05190058113	Well annotated
SELENOM.2.selenocysteine	ENSP05190058115	Well annotated
SELENON.4.selenocysteine	ENSP04670089881	Well annotated
SELENON.4.selenocysteine	ENSP05190057491	Well annotated
SELENON.4.selenocysteine	ENSP05190057492	Well annotated
SELENON.4.selenocysteine	ENSP05190057493	Well annotated
SELENOO.7.selenocysteine	ENSP05190051821	Well annotated
SELENOP.3.selenocysteine	ENSP05190061994	Well annotated
SELENOP.3.selenocysteine	ENSP05190061995	Well annotated
SELENOP.3.selenocysteine	ENSP05190061996	Well annotated
SELENOP.3.selenocysteine	ENSP05190061997	Well annotated
SELENOP.3.selenocysteine	ENSP05190061998	Well annotated
SELENOP.3.selenocysteine	ENSP05190061999	Well annotated
