transcript_id	transcript_id_ens	Type_annotation
DIO.4.selenocysteine	ENSFDUP00000026564	Downstream
DIO.4.selenocysteine	ENSFDUP00000026572	Downstream
DIO.4.selenocysteine	ENSFDUP00000026585	Downstream
DIO.5.selenocysteine	ENSFDUP00000023939	Downstream
DIO.5.selenocysteine	ENSFDUP00000023949	Downstream
GPX.1.selenocysteine	ENSFDUP00000026458	Downstream
GPX.1.selenocysteine	ENSFDUP00000026468	Downstream
GPX.1.selenocysteine	ENSFDUP00000026486	Downstream
GPX.10.selenocysteine	ENSFDUP00000005756	Downstream
GPX.10.selenocysteine	ENSFDUP00000005764	Downstream
GPX.10.selenocysteine	ENSFDUP00000005772	Downstream
GPX.10.selenocysteine	ENSFDUP00000005777	Downstream
GPX.11.selenocysteine	ENSFDUP00000014044	Skipped
GPX.11.selenocysteine	ENSFDUP00000014056	Skipped
GPX.3.selenocysteine	ENSFDUP00000029217	Downstream
GPX.3.selenocysteine	ENSFDUP00000029220	Downstream
GPX.9.selenocysteine	ENSFDUP00000000899	Skipped
GPX.9.selenocysteine	ENSFDUP00000000910	Downstream
SELENOF.2.selenocysteine	ENSFDUP00000002466	Stop codon
SELENOF.2.selenocysteine	ENSFDUP00000002469	Stop codon
SELENOJ.2.selenocysteine	ENSFDUP00000004491	Stop codon
SELENOJ.2.selenocysteine	ENSFDUP00000004504	Stop codon
SELENOJ.2.selenocysteine	ENSFDUP00000004508	Stop codon
SELENOL.1.selenocysteine	ENSFDUP00000015806	Downstream
SELENOL.1.selenocysteine	ENSFDUP00000018642	Stop codon
SELENON.3.selenocysteine	ENSFDUP00000017241	Downstream
SELENON.3.selenocysteine	ENSFDUP00000017248	Skipped
SELENON.3.selenocysteine	ENSFDUP00000017259	Stop codon
SELENOT.3.selenocysteine	ENSFDUP00000006688	Downstream
SELENOT.3.selenocysteine	ENSFDUP00000006695	Downstream
SELENOU.5.selenocysteine	ENSFDUP00000000036	Downstream
SELENOU.5.selenocysteine	ENSFDUP00000005976	Stop codon
SEPHS2.8.selenocysteine	ENSFDUP00000021892	Downstream
SEPHS2.8.selenocysteine	ENSFDUP00000021899	Skipped
SEPHS2.8.selenocysteine	ENSFDUP00000024310	Downstream
