transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04830023501	Downstream
DIO.1.selenocysteine	ENSP04830023502	Well annotated
DIO.3.selenocysteine	ENSP04830055690	Well annotated
DIO.3.selenocysteine	ENSP04830055691	Well annotated
DIO.3.selenocysteine	ENSP04830055694	Upstream
DIO.3.selenocysteine	ENSP04830055696	Out of frame
DIO.3.selenocysteine	ENSP04830055700	Upstream
DIO.3.selenocysteine	ENSP04830055702	Upstream
DIO.3.selenocysteine	ENSP04830055705	Upstream
DIO.4.selenocysteine	ENSP04830076366	Well annotated
DIO.4.selenocysteine	ENSP04830076367	Well annotated
DIO.4.selenocysteine	ENSP04830076368	Well annotated
DIO.4.selenocysteine	ENSP04830076369	Out of frame
DIO.4.selenocysteine	ENSP04830076370	Out of frame
DIO.4.selenocysteine	ENSP04830076371	Upstream
DIO.4.selenocysteine	ENSP04830076372	Out of frame
DIO.4.selenocysteine	ENSP04830076373	Skipped
DIO.4.selenocysteine	ENSP04830076374	Downstream
DIO.4.selenocysteine	ENSP04830076375	Well annotated
DIO.4.selenocysteine	ENSP04830076376	Upstream
DIO.4.selenocysteine	ENSP04830076377	Upstream
GPX.16.selenocysteine	ENSP04830100763	Well annotated
GPX.16.selenocysteine	ENSP04830100764	Well annotated
GPX.16.selenocysteine	ENSP04830100765	Upstream
GPX.16.selenocysteine	ENSP04830100766	Upstream
GPX.16.selenocysteine	ENSP04830100767	Out of frame
GPX.18.selenocysteine	ENSP04830005112	Well annotated
GPX.18.selenocysteine	ENSP04830005113	Well annotated
GPX.26.selenocysteine	ENSP04830012959	Well annotated
GPX.26.selenocysteine	ENSP04830012960	Well annotated
GPX.26.selenocysteine	ENSP04830012961	Well annotated
GPX.26.selenocysteine	ENSP04830012962	Well annotated
GPX.26.selenocysteine	ENSP04830012963	Well annotated
GPX.26.selenocysteine	ENSP04830012964	Well annotated
GPX.26.selenocysteine	ENSP04830012965	Well annotated
GPX.26.selenocysteine	ENSP04830012966	Downstream
GPX.26.selenocysteine	ENSP04830012967	Well annotated
GPX.26.selenocysteine	ENSP04830012968	Well annotated
GPX.26.selenocysteine	ENSP04830012969	Well annotated
GPX.26.selenocysteine	ENSP04830012970	Downstream
GPX.3.selenocysteine	ENSP04830102837	Well annotated
GPX.3.selenocysteine	ENSP04830102838	Well annotated
GPX.3.selenocysteine	ENSP04830102839	Skipped
GPX.3.selenocysteine	ENSP04830102840	Well annotated
GPX.3.selenocysteine	ENSP04830102841	Well annotated
GPX.3.selenocysteine	ENSP04830102842	Well annotated
GPX.3.selenocysteine	ENSP04830102843	Skipped
GPX.3.selenocysteine	ENSP04830102844	Well annotated
GPX.3.selenocysteine	ENSP04830102845	Well annotated
GPX.3.selenocysteine	ENSP04830102846	Well annotated
GPX.3.selenocysteine	ENSP04830102847	Well annotated
GPX.3.selenocysteine	ENSP04830102848	Upstream
GPX.3.selenocysteine	ENSP04830102849	Well annotated
GPX.3.selenocysteine	ENSP04830102850	Well annotated
GPX.5.selenocysteine	ENSP04830041350	Well annotated
GPX.5.selenocysteine	ENSP04830041351	Well annotated
GPX.5.selenocysteine	ENSP04830041352	Skipped
GPX.5.selenocysteine	ENSP04830041353	Well annotated
MSRB.3.selenocysteine	ENSP04830080096	Well annotated
MSRB.3.selenocysteine	ENSP04830080097	Upstream
MSRB.3.selenocysteine	ENSP04830080098	Out of frame
MSRB.3.selenocysteine	ENSP04830080099	Out of frame
SELENOF.3.selenocysteine	ENSP04830075772	Well annotated
SELENOF.3.selenocysteine	ENSP04830075773	Well annotated
SELENOF.3.selenocysteine	ENSP04830075774	Well annotated
SELENOF.3.selenocysteine	ENSP04830075775	Out of frame
SELENOF.3.selenocysteine	ENSP04830075776	Out of frame
SELENOH.2.selenocysteine	ENSP04830044558	Well annotated
SELENOH.2.selenocysteine	ENSP04830044561	Well annotated
SELENOH.2.selenocysteine	ENSP04830044565	Out of frame
SELENOI.3.selenocysteine	ENSP04830027864	Upstream
SELENOI.3.selenocysteine	ENSP04830027865	Well annotated
SELENOI.3.selenocysteine	ENSP04830027866	Upstream
SELENOK.7.selenocysteine	ENSP04830107239	Well annotated
SELENOK.7.selenocysteine	ENSP04830107240	Out of frame
SELENOM.2.selenocysteine	ENSP04830014678	Well annotated
SELENOM.2.selenocysteine	ENSP04830014679	Well annotated
SELENON.4.selenocysteine	ENSP04830091676	Well annotated
SELENON.4.selenocysteine	ENSP04830091677	Well annotated
SELENON.4.selenocysteine	ENSP04830091678	Well annotated
SELENON.4.selenocysteine	ENSP04830091680	Well annotated
