transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAF0023268.1	Downstream
DIO.1.selenocysteine	cds-KAF0023269.1	Stop codon
DIO.10.selenocysteine	cds-KAF0042168.1	Skipped
DIO.2.selenocysteine	cds-KAF0044288.1	Downstream
DIO.2.selenocysteine	cds-KAF0044289.1	Stop codon
DIO.4.selenocysteine	cds-KAF0044739.1	Stop codon
DIO.4.selenocysteine	cds-KAF0044740.1	Upstream
GPX.14.selenocysteine	cds-KAF0025543.1	Skipped
GPX.17.selenocysteine	cds-KAF0039522.1	Skipped
GPX.21.selenocysteine	cds-KAF0047077.1	Downstream
GPX.3.selenocysteine	cds-KAF0034972.1	Downstream
GPX.6.selenocysteine	cds-KAF0044467.1	Skipped
GPX.8.selenocysteine	cds-KAF0042314.1	Downstream
MSRB.1.selenocysteine	cds-KAF0032651.1	Upstream
MSRB.2.selenocysteine	cds-KAF0032651.1	Upstream
MSRB.8.selenocysteine	cds-KAF0025216.1	Stop codon
SELENOE.4.selenocysteine	cds-KAF0034227.1	Downstream
SELENOF.1.selenocysteine	cds-KAF0047167.1	Skipped
SELENOI.4.selenocysteine	cds-KAF0023147.1	Stop codon
SELENOJ.10.selenocysteine	cds-KAF0028268.1	Skipped
SELENOJ.3.selenocysteine	cds-KAF0047335.1	Skipped
SELENOL.5.selenocysteine	cds-KAF0023829.1	Out of frame
SELENOM.2.selenocysteine	cds-KAF0033881.1	Skipped
SELENON.8.selenocysteine	cds-KAF0044298.1	Skipped
SELENOO.11.selenocysteine	cds-KAF0041385.1	Stop codon
SELENOO.4.selenocysteine	cds-KAF0029497.1	Upstream
SELENOP.1.selenocysteine	cds-KAF0034005.1	Downstream
SELENOP.3.selenocysteine	cds-KAF0047383.1	Downstream
SELENOS.3.selenocysteine	cds-KAF0043648.1	Upstream
SELENOT.3.selenocysteine	cds-KAF0040238.1	Skipped
SELENOU.13.selenocysteine	cds-KAF0025724.1	Downstream
SELENOU.5.selenocysteine	cds-KAF0027499.1	Upstream
SELENOU.7.selenocysteine	cds-KAF0027499.1	Skipped
SELENOW.1.selenocysteine	cds-KAF0033118.1	Downstream
SEPHS2.3.selenocysteine	cds-KAF0036567.1	Downstream
TXNRD.10.selenocysteine	cds-KAF0035365.1	Stop codon
TXNRD.16.selenocysteine	cds-KAF0033624.1	Out of frame
