transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_014840089.1	Well annotated
DIO.2.selenocysteine	cds-XP_014838912.1	Well annotated
DIO.3.selenocysteine	cds-XP_014866023.1	Well annotated
DIO.5.selenocysteine	cds-XP_014856225.1	Well annotated
DIO.6.selenocysteine	cds-XP_014855957.1	Well annotated
GPX.14.selenocysteine	cds-XP_014856740.1	Downstream
GPX.16.selenocysteine	cds-XP_014868063.1	Well annotated
GPX.2.selenocysteine	cds-XP_014843796.1	Well annotated
GPX.21.selenocysteine	cds-XP_014842444.1	Well annotated
GPX.21.selenocysteine	cds-XP_014842445.1	Well annotated
GPX.21.selenocysteine	cds-XP_014842446.1	Well annotated
GPX.4.selenocysteine	cds-XP_014852468.1	Well annotated
GPX.5.selenocysteine	cds-XP_014831152.1	Well annotated
GPX.7.selenocysteine	cds-XP_014856638.1	Well annotated
GPX.8.selenocysteine	cds-XP_014844003.1	Well annotated
MSRB.4.selenocysteine	cds-XP_014836114.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_014841184.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_014862849.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_014825900.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_014825025.1	Stop codon
SELENOJ.4.selenocysteine	cds-XP_014858421.1	Well annotated
SELENOJ.8.selenocysteine	cds-XP_014857700.1	Well annotated
SELENOJ.8.selenocysteine	cds-XP_014857701.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_014825122.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_014861944.1	Well annotated
SELENON.5.selenocysteine	cds-XP_014856495.1	Well annotated
SELENOO.10.selenocysteine	cds-XP_014822388.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_014830097.1	Upstream
SELENOO.3.selenocysteine	cds-XP_014830098.1	Upstream
SELENOP.3.selenocysteine	cds-XP_014852794.1	Well annotated
SELENOP.6.selenocysteine	cds-XP_014838229.1	Well annotated
SELENOP.6.selenocysteine	cds-XP_014838230.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_014863835.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_014851126.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_014855621.1	Well annotated
SELENOU.10.selenocysteine	cds-XP_014848551.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_014843021.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_014843022.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_014843023.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_014865310.1	Well annotated
SEPHS2.7.selenocysteine	cds-XP_014829126.1	Well annotated
TXNRD.12.selenocysteine	cds-XP_014850319.1	Stop codon
TXNRD.8.selenocysteine	cds-XP_014854552.1	Stop codon
