transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	cds-KFQ58262.1	Downstream
DIO.2.selenocysteine	cds-KFQ58263.1	Upstream
DIO.3.selenocysteine	cds-KFQ66359.1	Upstream
DIO.3.selenocysteine	cds-KFQ66360.1	Downstream
DIO.7.selenocysteine	cds-KFQ59917.1	Stop codon
GPX.11.selenocysteine	cds-KFQ61882.1	Downstream
SELENOF.3.selenocysteine	cds-KFQ59320.1	Downstream
SELENOF.3.selenocysteine	cds-KFQ59321.1	Upstream
SELENOK.2.selenocysteine	cds-KFQ56058.1	Stop codon
SELENOO.2.selenocysteine	cds-KFQ48652.1	Stop codon
SELENOP.3.selenocysteine	cds-KFQ62698.1	Downstream
SELENOS.3.selenocysteine	cds-KFQ66044.1	Upstream
SELENOT.3.selenocysteine	cds-KFQ48377.1	Downstream
SELENOU.4.selenocysteine	cds-KFQ53693.1	Stop codon
TXNRD.15.selenocysteine	cds-KFQ58147.1	Upstream
TXNRD.26.selenocysteine	cds-KFQ58152.1	Stop codon
TXNRD.8.selenocysteine	cds-KFQ53390.1	Stop codon
