transcript_id	transcript_id_ens	Type_annotation
FrnE.1.selenocysteine	ENSDGMP00000019348	Downstream
GPX.11.selenocysteine	ENSDGMP00000012384	Skipped
GPX.12.selenocysteine	ENSDGMP00000014496	Skipped
GPX.12.selenocysteine	ENSDGMP00000014505	Skipped
GPX.12.selenocysteine	ENSDGMP00000014515	Downstream
GPX.13.selenocysteine	ENSDGMP00000014348	Skipped
SELENOF.3.selenocysteine	ENSDGMP00000016649	Stop codon
SELENOJ.1.selenocysteine	ENSDGMP00000025025	Skipped
SELENOJ.1.selenocysteine	ENSDGMP00000025031	Stop codon
SELENOT.1.selenocysteine	ENSDGMP00000019416	Downstream
SELENOT.1.selenocysteine	ENSDGMP00000019429	Downstream
SELENOT.4.selenocysteine	ENSDGMP00000003577	Downstream
SELENOT.4.selenocysteine	ENSDGMP00000003586	Downstream
SELENOU.5.selenocysteine	ENSDGMP00000002270	Downstream
SEPHS2.1.selenocysteine	ENSDGMP00000031248	Downstream
TXNRD.14.selenocysteine	ENSDGMP00000027754	Upstream
TXNRD.14.selenocysteine	ENSDGMP00000027767	Stop codon
TXNRD.14.selenocysteine	ENSDGMP00000027778	Stop codon
TXNRD.14.selenocysteine	ENSDGMP00000027786	Stop codon
