transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSOTSP00005113457	Well annotated
DIO.2.selenocysteine	ENSOTSP00005105313	Well annotated
DIO.4.selenocysteine	ENSOTSP00005040436	Skipped
DIO.5.selenocysteine	ENSOTSP00005131376	Well annotated
DIO.7.selenocysteine	ENSOTSP00005110613	Well annotated
DIO.9.selenocysteine	ENSOTSP00005062076	Skipped
GPX.10.selenocysteine	ENSOTSP00005018436	Skipped
GPX.10.selenocysteine	ENSOTSP00005127144	Skipped
GPX.10.selenocysteine	ENSOTSP00005138734	Skipped
GPX.10.selenocysteine	ENSOTSP00005148932	Skipped
GPX.11.selenocysteine	ENSOTSP00005075090	Skipped
GPX.11.selenocysteine	ENSOTSP00005106692	Skipped
GPX.11.selenocysteine	ENSOTSP00005110159	Skipped
GPX.11.selenocysteine	ENSOTSP00005112703	Skipped
GPX.11.selenocysteine	ENSOTSP00005128294	Skipped
GPX.14.selenocysteine	ENSOTSP00005075091	Downstream
GPX.20.selenocysteine	ENSOTSP00005118444	Downstream
GPX.25.selenocysteine	ENSOTSP00005028174	Skipped
GPX.25.selenocysteine	ENSOTSP00005106119	Skipped
GPX.25.selenocysteine	ENSOTSP00005151114	Skipped
GPX.25.selenocysteine	ENSOTSP00005157607	Skipped
GPX.28.selenocysteine	ENSOTSP00005002338	Skipped
GPX.28.selenocysteine	ENSOTSP00005109839	Skipped
GPX.28.selenocysteine	ENSOTSP00005115264	Skipped
GPX.3.selenocysteine	ENSOTSP00005137775	Well annotated
GPX.30.selenocysteine	ENSOTSP00005130326	Downstream
GPX.4.selenocysteine	ENSOTSP00005031271	Skipped
GPX.4.selenocysteine	ENSOTSP00005092138	Skipped
GPX.4.selenocysteine	ENSOTSP00005106515	Skipped
GPX.4.selenocysteine	ENSOTSP00005110942	Skipped
GPX.4.selenocysteine	ENSOTSP00005118703	Skipped
GPX.4.selenocysteine	ENSOTSP00005127702	Skipped
GPX.6.selenocysteine	ENSOTSP00005040895	Skipped
GPX.6.selenocysteine	ENSOTSP00005113826	Skipped
GPX.6.selenocysteine	ENSOTSP00005115514	Skipped
GPX.6.selenocysteine	ENSOTSP00005119778	Skipped
GPX.6.selenocysteine	ENSOTSP00005129854	Skipped
GPX.6.selenocysteine	ENSOTSP00005150400	Skipped
MSRB.3.selenocysteine	ENSOTSP00005057176	Out of frame
MSRB.3.selenocysteine	ENSOTSP00005149903	Upstream
MSRB.6.selenocysteine	ENSOTSP00005005292	Stop codon
SELENOF.1.selenocysteine	ENSOTSP00005082833	Well annotated
SELENOF.1.selenocysteine	ENSOTSP00005109824	Skipped
SELENOF.4.selenocysteine	ENSOTSP00005050007	Skipped
SELENOF.4.selenocysteine	ENSOTSP00005120476	Well annotated
SELENOH.5.selenocysteine	ENSOTSP00005025447	Skipped
SELENOI.4.selenocysteine	ENSOTSP00005031855	Upstream
SELENOI.4.selenocysteine	ENSOTSP00005108519	Stop codon
SELENOI.4.selenocysteine	ENSOTSP00005114293	Upstream
SELENOI.4.selenocysteine	ENSOTSP00005148176	Upstream
SELENOJ.10.selenocysteine	ENSOTSP00005050238	Skipped
SELENOK.1.selenocysteine	ENSOTSP00005055471	Upstream
SELENOK.1.selenocysteine	ENSOTSP00005107265	Stop codon
SELENOL.5.selenocysteine	ENSOTSP00005117096	Upstream
SELENOL.5.selenocysteine	ENSOTSP00005121753	Downstream
SELENOM.3.selenocysteine	ENSOTSP00005153915	Skipped
SELENON.10.selenocysteine	ENSOTSP00005076241	Skipped
SELENOO.1.selenocysteine	ENSOTSP00005085007	Out of frame
SELENOO.1.selenocysteine	ENSOTSP00005142265	Out of frame
SELENOO.10.selenocysteine	ENSOTSP00005007720	Stop codon
SELENOP.3.selenocysteine	ENSOTSP00005107502	Well annotated
SELENOP.7.selenocysteine	ENSOTSP00005045848	Skipped
SELENOS.4.selenocysteine	ENSOTSP00005111874	Upstream
SELENOS.4.selenocysteine	ENSOTSP00005121270	Stop codon
SELENOS.4.selenocysteine	ENSOTSP00005128982	Stop codon
SELENOS.4.selenocysteine	ENSOTSP00005154096	Stop codon
SELENOT.10.selenocysteine	ENSOTSP00005074836	Downstream
SELENOT.6.selenocysteine	ENSOTSP00005047692	Skipped
SELENOT.6.selenocysteine	ENSOTSP00005106154	Skipped
SELENOT.6.selenocysteine	ENSOTSP00005141091	Skipped
SELENOU.13.selenocysteine	ENSOTSP00005139328	Skipped
SELENOU.6.selenocysteine	ENSOTSP00005126275	Skipped
SELENOU.7.selenocysteine	ENSOTSP00005088369	Skipped
SELENOU.9.selenocysteine	ENSOTSP00005043563	Skipped
SELENOU.9.selenocysteine	ENSOTSP00005043564	Skipped
SELENOW.10.selenocysteine	ENSOTSP00005143394	Downstream
SELENOW.2.selenocysteine	ENSOTSP00005081346	Skipped
SELENOW.4.selenocysteine	ENSOTSP00005118767	Skipped
SELENOW.5.selenocysteine	ENSOTSP00005134722	Downstream
SEPHS2.13.selenocysteine	ENSOTSP00005084737	Out of frame
SEPHS2.13.selenocysteine	ENSOTSP00005127914	Skipped
TXNRD.10.selenocysteine	ENSOTSP00005001035	Well annotated
TXNRD.10.selenocysteine	ENSOTSP00005001118	Stop codon
TXNRD.10.selenocysteine	ENSOTSP00005143411	Upstream
TXNRD.12.selenocysteine	ENSOTSP00005052795	Upstream
TXNRD.12.selenocysteine	ENSOTSP00005071417	Upstream
TXNRD.12.selenocysteine	ENSOTSP00005117879	Upstream
TXNRD.12.selenocysteine	ENSOTSP00005151351	Well annotated
TXNRD.34.selenocysteine	ENSOTSP00005074289	Stop codon
TXNRD.34.selenocysteine	ENSOTSP00005074778	Stop codon
TXNRD.34.selenocysteine	ENSOTSP00005074783	Stop codon
