transcript_id	transcript_id_ens	Type_annotation
DIO.13.selenocysteine	ENSJQFP00000010591	Stop codon
DIO.13.selenocysteine	ENSJQFP00000010597	Downstream
DIO.13.selenocysteine	ENSJQFP00000010601	Skipped
DIO.3.selenocysteine	ENSJQFP00000033762	Skipped
DIO.3.selenocysteine	ENSJQFP00000033769	Skipped
DIO.3.selenocysteine	ENSJQFP00000033779	Upstream
GPX.10.selenocysteine	ENSJQFP00000020843	Skipped
GPX.2.selenocysteine	ENSJQFP00000033496	Skipped
GPX.3.selenocysteine	ENSJQFP00000017675	Downstream
GPX.7.selenocysteine	ENSJQFP00000003925	Skipped
MSRB.4.selenocysteine	ENSJQFP00000003945	Skipped
MSRB.5.selenocysteine	ENSJQFP00000001181	Skipped
MSRB.5.selenocysteine	ENSJQFP00000001193	Stop codon
MsrA.2.selenocysteine	ENSJQFP00000030720	Skipped
MsrA.2.selenocysteine	ENSJQFP00000030730	Downstream
SELENOF.2.selenocysteine	ENSJQFP00000009073	Skipped
SELENOF.2.selenocysteine	ENSJQFP00000009086	Skipped
SELENOH.2.selenocysteine	ENSJQFP00000022760	Downstream
SELENOL.2.selenocysteine	ENSJQFP00000022783	Skipped
SELENOL.2.selenocysteine	ENSJQFP00000022793	Stop codon
SELENON.3.selenocysteine	ENSJQFP00000023752	Stop codon
SELENON.3.selenocysteine	ENSJQFP00000023764	Skipped
SELENOO.1.selenocysteine	ENSJQFP00000024700	Stop codon
SELENOO.1.selenocysteine	ENSJQFP00000024713	Stop codon
SELENOO.1.selenocysteine	ENSJQFP00000024728	Stop codon
SELENOT.1.selenocysteine	ENSJQFP00000022088	Downstream
SELENOT.1.selenocysteine	ENSJQFP00000022093	Downstream
SELENOU.4.selenocysteine	ENSJQFP00000008766	Skipped
SEPHS2.3.selenocysteine	ENSJQFP00000015216	Downstream
SEPHS2.3.selenocysteine	ENSJQFP00000015222	Skipped
TXNRD.21.selenocysteine	ENSJQFP00000014689	Stop codon
