transcript_id	transcript_id_ens	Type_annotation
DIO.10.selenocysteine	cds-OWF36843.1	Downstream
DIO.13.selenocysteine	cds-OWF41016.1	Downstream
DIO.2.selenocysteine	cds-OWF46890.1	Stop codon
DIO.2.selenocysteine	cds-OWF46891.1	Downstream
DIO.4.selenocysteine	cds-OWF51740.1	Downstream
DIO.5.selenocysteine	cds-OWF51741.1	Downstream
DIO.6.selenocysteine	cds-OWF51742.1	Downstream
DIO.9.selenocysteine	cds-OWF39026.1	Downstream
FrnE.1.selenocysteine	cds-OWF54605.1	Downstream
GPX.12.selenocysteine	cds-OWF48099.1	Downstream
GPX.17.selenocysteine	cds-OWF44376.1	Stop codon
GPX.17.selenocysteine	cds-OWF44377.1	Downstream
GPX.2.selenocysteine	cds-OWF47436.1	Downstream
GPX.22.selenocysteine	cds-OWF53245.1	Downstream
GPX.22.selenocysteine	cds-OWF53246.1	Stop codon
GPX.23.selenocysteine	cds-OWF54413.1	Skipped
GPX.5.selenocysteine	cds-OWF39878.1	Downstream
GPX.6.selenocysteine	cds-OWF48100.1	Stop codon
GPX.9.selenocysteine	cds-OWF48101.1	Stop codon
GPX.9.selenocysteine	cds-OWF48102.1	Downstream
MSRB.4.selenocysteine	cds-OWF46100.1	Stop codon
MsrA.10.selenocysteine	cds-OWF39648.1	Downstream
SELENOF.2.selenocysteine	cds-OWF39495.1	Skipped
SELENOJ.1.selenocysteine	cds-OWF44538.1	Stop codon
SELENOL.1.selenocysteine	cds-OWF35173.1	Stop codon
SELENON.3.selenocysteine	cds-OWF41177.1	Stop codon
SELENON.3.selenocysteine	cds-OWF41178.1	Downstream
SELENON.9.selenocysteine	cds-OWF47391.1	Stop codon
SELENOT.2.selenocysteine	cds-OWF41578.1	Downstream
SELENOU.1.selenocysteine	cds-OWF38577.1	Skipped
SELENOU.9.selenocysteine	cds-OWF37831.1	Skipped
SEPHS2.4.selenocysteine	cds-OWF48779.1	Downstream
TXNRD.20.selenocysteine	cds-OWF55107.1	Upstream
TXNRD.20.selenocysteine	cds-OWF55108.1	Stop codon
