transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAG3260343.1	Downstream
DIO.1.selenocysteine	cds-KAG3260344.1	Stop codon
DIO.3.selenocysteine	cds-gnl|WGS:JAESOR|product.rna9171	Out of frame
GPX.13.selenocysteine	cds-gnl|WGS:JAESOR|product.rna31382	Well annotated
GPX.2.selenocysteine	cds-gnl|WGS:JAESOR|product.rna11388	Well annotated
GPX.24.selenocysteine	cds-gnl|WGS:JAESOR|product.rna40930	Well annotated
GPX.4.selenocysteine	cds-gnl|WGS:JAESOR|product.rna17722	Well annotated
MSRB.1.selenocysteine	cds-gnl|WGS:JAESOR|product.rna34612	Well annotated
SELENOF.3.selenocysteine	cds-gnl|WGS:JAESOR|product.rna36576	Well annotated
SELENOM.1.selenocysteine	cds-gnl|WGS:JAESOR|product.rna37688	Well annotated
SELENOO.2.selenocysteine	cds-gnl|WGS:JAESOR|product.rna30061	Well annotated
SELENOS.1.selenocysteine	cds-KAG3262677.1	Stop codon
SELENOT.5.selenocysteine	cds-gnl|WGS:JAESOR|product.rna37791	Well annotated
SELENOW.3.selenocysteine	cds-gnl|WGS:JAESOR|product.rna32569	Well annotated
SEPHS2.1.selenocysteine	cds-gnl|WGS:JAESOR|product.rna13119	Well annotated
TXNRD.16.selenocysteine	cds-KAG3291119.1	Stop codon
TXNRD.16.selenocysteine	cds-KAG3291120.1	Stop codon
TXNRD.34.selenocysteine	cds-KAG3278640.1	Stop codon
TXNRD.34.selenocysteine	cds-KAG3278641.1	Stop codon
TXNRD.34.selenocysteine	cds-KAG3278642.1	Stop codon
