transcript_id	transcript_id_ens	Type_annotation
GPX.3.selenocysteine	ENSWSVP00000029429	Skipped
GPX.4.selenocysteine	ENSWSVP00000002904	Skipped
GPX.4.selenocysteine	ENSWSVP00000002908	Skipped
GPX.4.selenocysteine	ENSWSVP00000002922	Stop codon
GPX.4.selenocysteine	ENSWSVP00000002928	Stop codon
MSRB.3.selenocysteine	ENSWSVP00000004699	Stop codon
SELENOF.2.selenocysteine	ENSWSVP00000026721	Skipped
SELENOF.2.selenocysteine	ENSWSVP00000026732	Stop codon
SELENOH.1.selenocysteine	ENSWSVP00000019917	Stop codon
SELENON.3.selenocysteine	ENSWSVP00000001879	Stop codon
SELENOP.1.selenocysteine	ENSWSVP00000018903	Downstream
SELENOP.1.selenocysteine	ENSWSVP00000018909	Downstream
SELENOP.1.selenocysteine	ENSWSVP00000018918	Downstream
SELENOT.1.selenocysteine	ENSWSVP00000001477	Skipped
SELENOT.1.selenocysteine	ENSWSVP00000001489	Downstream
SELENOW.1.selenocysteine	ENSWSVP00000020619	Downstream
SEPHS2.1.selenocysteine	ENSWSVP00000025846	Skipped
TXNRD.10.selenocysteine	ENSWSVP00000007346	Upstream
TXNRD.10.selenocysteine	ENSWSVP00000007358	Stop codon
TXNRD.10.selenocysteine	ENSWSVP00000007370	Stop codon
TXNRD.21.selenocysteine	ENSWSVP00000024543	Stop codon
TXNRD.21.selenocysteine	ENSWSVP00000024555	Stop codon
TXNRD.21.selenocysteine	ENSWSVP00000024570	Stop codon
