transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02770018518	Downstream
DIO.1.selenocysteine	ENSP02770018520	Well annotated
DIO.3.selenocysteine	ENSP02770016753	Well annotated
DIO.3.selenocysteine	ENSP02770016754	Well annotated
DIO.3.selenocysteine	ENSP02770016756	Upstream
DIO.3.selenocysteine	ENSP02770016757	Out of frame
DIO.3.selenocysteine	ENSP02770016759	Upstream
DIO.3.selenocysteine	ENSP02770016760	Upstream
DIO.3.selenocysteine	ENSP02770016761	Upstream
DIO.4.selenocysteine	ENSP02770076545	Well annotated
DIO.4.selenocysteine	ENSP02770076547	Well annotated
DIO.4.selenocysteine	ENSP02770076548	Well annotated
DIO.4.selenocysteine	ENSP02770076549	Out of frame
DIO.4.selenocysteine	ENSP02770076551	Out of frame
DIO.4.selenocysteine	ENSP02770076553	Upstream
DIO.4.selenocysteine	ENSP02770076555	Out of frame
DIO.4.selenocysteine	ENSP02770076557	Skipped
DIO.4.selenocysteine	ENSP02770076558	Downstream
DIO.4.selenocysteine	ENSP02770076560	Well annotated
DIO.4.selenocysteine	ENSP02770076561	Upstream
DIO.4.selenocysteine	ENSP02770076563	Upstream
GPX.11.selenocysteine	ENSP02770004792	Well annotated
GPX.11.selenocysteine	ENSP02770004793	Well annotated
GPX.11.selenocysteine	ENSP02770004794	Well annotated
GPX.11.selenocysteine	ENSP02770004795	Well annotated
GPX.11.selenocysteine	ENSP02770004796	Well annotated
GPX.11.selenocysteine	ENSP02770004797	Well annotated
GPX.11.selenocysteine	ENSP02770004798	Well annotated
GPX.11.selenocysteine	ENSP02770004799	Downstream
GPX.11.selenocysteine	ENSP02770004800	Well annotated
GPX.11.selenocysteine	ENSP02770004801	Well annotated
GPX.11.selenocysteine	ENSP02770004802	Well annotated
GPX.11.selenocysteine	ENSP02770004803	Downstream
GPX.16.selenocysteine	ENSP02770081858	Well annotated
GPX.16.selenocysteine	ENSP02770081859	Well annotated
GPX.16.selenocysteine	ENSP02770081861	Upstream
GPX.16.selenocysteine	ENSP02770081862	Upstream
GPX.16.selenocysteine	ENSP02770081864	Out of frame
GPX.18.selenocysteine	ENSP02770000120	Well annotated
GPX.18.selenocysteine	ENSP02770000121	Well annotated
GPX.3.selenocysteine	ENSP02770102644	Well annotated
GPX.3.selenocysteine	ENSP02770102645	Well annotated
GPX.3.selenocysteine	ENSP02770102646	Skipped
GPX.3.selenocysteine	ENSP02770102647	Well annotated
GPX.3.selenocysteine	ENSP02770102648	Well annotated
GPX.3.selenocysteine	ENSP02770102649	Well annotated
GPX.3.selenocysteine	ENSP02770102650	Skipped
GPX.3.selenocysteine	ENSP02770102651	Well annotated
GPX.3.selenocysteine	ENSP02770102652	Well annotated
GPX.3.selenocysteine	ENSP02770102653	Well annotated
GPX.3.selenocysteine	ENSP02770102654	Well annotated
GPX.3.selenocysteine	ENSP02770102655	Upstream
