transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSPMGP00005016663	Skipped
DIO.12.selenocysteine	ENSPMGP00005045374	Skipped
DIO.12.selenocysteine	ENSPMGP00005045375	Skipped
DIO.12.selenocysteine	ENSPMGP00005045383	Skipped
DIO.2.selenocysteine	ENSPMGP00005034980	Downstream
DIO.2.selenocysteine	ENSPMGP00005049612	Stop codon
GPX.10.selenocysteine	ENSPMGP00005015063	Skipped
GPX.10.selenocysteine	ENSPMGP00005015075	Skipped
GPX.10.selenocysteine	ENSPMGP00005015083	Skipped
GPX.15.selenocysteine	ENSPMGP00005023712	Stop codon
GPX.15.selenocysteine	ENSPMGP00005023719	Downstream
GPX.21.selenocysteine	ENSPMGP00005008377	Downstream
GPX.21.selenocysteine	ENSPMGP00005008389	Stop codon
GPX.3.selenocysteine	ENSPMGP00005050400	Skipped
GPX.3.selenocysteine	ENSPMGP00005050404	Skipped
GPX.3.selenocysteine	ENSPMGP00005050409	Skipped
GPX.3.selenocysteine	ENSPMGP00005050411	Skipped
GPX.3.selenocysteine	ENSPMGP00005050413	Skipped
GPX.3.selenocysteine	ENSPMGP00005050414	Skipped
GPX.3.selenocysteine	ENSPMGP00005050416	Skipped
GPX.3.selenocysteine	ENSPMGP00005050417	Skipped
GPX.4.selenocysteine	ENSPMGP00005048889	Skipped
GPX.4.selenocysteine	ENSPMGP00005048893	Skipped
GPX.4.selenocysteine	ENSPMGP00005048894	Skipped
GPX.4.selenocysteine	ENSPMGP00005048895	Skipped
GPX.4.selenocysteine	ENSPMGP00005048896	Skipped
GPX.4.selenocysteine	ENSPMGP00005048898	Skipped
GPX.6.selenocysteine	ENSPMGP00005034116	Downstream
GPX.7.selenocysteine	ENSPMGP00005043781	Downstream
GPX.7.selenocysteine	ENSPMGP00005043784	Stop codon
MSRB.4.selenocysteine	ENSPMGP00005010708	Stop codon
MSRB.6.selenocysteine	ENSPMGP00005024155	Stop codon
MSRB.7.selenocysteine	ENSPMGP00005020495	Skipped
SELENOF.1.selenocysteine	ENSPMGP00005007576	Upstream
SELENOH.1.selenocysteine	ENSPMGP00005008344	Downstream
SELENOH.1.selenocysteine	ENSPMGP00005008354	Downstream
SELENOI.13.selenocysteine	ENSPMGP00005016793	Upstream
SELENOI.13.selenocysteine	ENSPMGP00005016820	Stop codon
SELENOJ.1.selenocysteine	ENSPMGP00005023247	Skipped
SELENOK.1.selenocysteine	ENSPMGP00005023838	Stop codon
SELENOL.4.selenocysteine	ENSPMGP00005022118	Stop codon
SELENOL.4.selenocysteine	ENSPMGP00005022131	Downstream
SELENOM.2.selenocysteine	ENSPMGP00005002364	Downstream
SELENOO.8.selenocysteine	ENSPMGP00005012012	Stop codon
SELENOP.3.selenocysteine	ENSPMGP00005041557	Skipped
SELENOP.4.selenocysteine	ENSPMGP00005025751	Skipped
SELENOS.2.selenocysteine	ENSPMGP00005021872	Stop codon
SELENOT.3.selenocysteine	ENSPMGP00005011105	Skipped
SELENOT.3.selenocysteine	ENSPMGP00005011115	Skipped
SELENOT.5.selenocysteine	ENSPMGP00005011428	Skipped
SELENOU.11.selenocysteine	ENSPMGP00005018680	Downstream
SELENOU.7.selenocysteine	ENSPMGP00005043699	Skipped
SELENOW.2.selenocysteine	ENSPMGP00005029253	Downstream
SEPHS2.8.selenocysteine	ENSPMGP00005012753	Downstream
TXNRD.13.selenocysteine	ENSPMGP00005051288	Stop codon
TXNRD.13.selenocysteine	ENSPMGP00005051290	Stop codon
TXNRD.4.selenocysteine	ENSPMGP00005021595	Skipped
TXNRD.4.selenocysteine	ENSPMGP00005021619	Skipped
TXNRD.4.selenocysteine	ENSPMGP00005021636	Skipped
TXNRD.4.selenocysteine	ENSPMGP00005021649	Skipped
