transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_024234480.1	Well annotated
DIO.2.selenocysteine	cds-XP_024293786.1	Well annotated
DIO.4.selenocysteine	cds-XP_024292609.1	Well annotated
DIO.7.selenocysteine	cds-XP_024276735.1	Well annotated
GPX.10.selenocysteine	cds-XP_024293194.1	Well annotated
GPX.11.selenocysteine	cds-XP_024277058.1	Well annotated
GPX.11.selenocysteine	cds-XP_024277059.1	Well annotated
GPX.11.selenocysteine	cds-XP_024277060.1	Well annotated
GPX.11.selenocysteine	cds-XP_024277061.1	Well annotated
GPX.14.selenocysteine	cds-XP_042178995.1	Well annotated
GPX.14.selenocysteine	cds-XP_042178997.1	Well annotated
GPX.25.selenocysteine	cds-XP_042159401.1	Well annotated
GPX.28.selenocysteine	cds-XP_024291915.2	Well annotated
GPX.28.selenocysteine	cds-XP_042184857.1	Well annotated
GPX.30.selenocysteine	cds-XP_042174996.1	Downstream
MSRB.3.selenocysteine	cds-XP_042175140.1	Well annotated
MSRB.6.selenocysteine	cds-XP_024243066.1	Well annotated
SELENOE.3.selenocysteine	cds-XP_024296353.1	Well annotated
SELENOF.4.selenocysteine	cds-XP_024291000.1	Well annotated
SELENOI.4.selenocysteine	cds-XP_042177242.1	Well annotated
SELENOI.4.selenocysteine	cds-XP_042177243.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_024230379.1	Well annotated
SELENOJ.10.selenocysteine	cds-XP_042154919.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_024231030.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_024231031.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_024231033.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_024233788.1	Well annotated
SELENOL.5.selenocysteine	cds-XP_024233789.1	Well annotated
SELENOM.3.selenocysteine	cds-XP_024294438.1	Well annotated
SELENON.10.selenocysteine	cds-XP_024293495.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_024235585.1	Well annotated
SELENOP.7.selenocysteine	cds-XP_024291396.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_042174974.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_024284716.1	Well annotated
SELENOT.6.selenocysteine	cds-XP_024268151.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_024260246.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_024260247.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_024260248.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_024260249.1	Well annotated
SELENOU.9.selenocysteine	cds-XP_042154965.1	Well annotated
SELENOW.10.selenocysteine	cds-XP_024253677.1	Well annotated
SELENOW.10.selenocysteine	cds-XP_024253678.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_024258926.1	Well annotated
SEPHS2.13.selenocysteine	cds-XP_042155806.1	Downstream
TXNRD.10.selenocysteine	cds-XP_024301613.1	Stop codon
TXNRD.12.selenocysteine	cds-XP_024270263.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_024273602.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_042176620.1	Upstream
