transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSNEYP00005031345	Skipped
DIO.1.selenocysteine	ENSNEYP00005031394	Stop codon
DIO.10.selenocysteine	ENSNEYP00005030505	Skipped
DIO.4.selenocysteine	ENSNEYP00005033774	Downstream
DIO.4.selenocysteine	ENSNEYP00005035185	Stop codon
DIO.6.selenocysteine	ENSNEYP00005029449	Downstream
DIO.6.selenocysteine	ENSNEYP00005030416	Stop codon
GPX.10.selenocysteine	ENSNEYP00005023586	Skipped
GPX.10.selenocysteine	ENSNEYP00005023588	Downstream
GPX.12.selenocysteine	ENSNEYP00005005481	Skipped
GPX.12.selenocysteine	ENSNEYP00005005493	Downstream
GPX.2.selenocysteine	ENSNEYP00005008210	Downstream
GPX.2.selenocysteine	ENSNEYP00005008221	Downstream
GPX.2.selenocysteine	ENSNEYP00005008232	Downstream
GPX.2.selenocysteine	ENSNEYP00005008236	Downstream
GPX.3.selenocysteine	ENSNEYP00005007334	Downstream
GPX.3.selenocysteine	ENSNEYP00005007340	Downstream
GPX.8.selenocysteine	ENSNEYP00005048505	Downstream
SELENOF.2.selenocysteine	ENSNEYP00005030386	Stop codon
SELENOJ.1.selenocysteine	ENSNEYP00005010175	Skipped
SELENOJ.1.selenocysteine	ENSNEYP00005010180	Stop codon
SELENOL.1.selenocysteine	ENSNEYP00005027963	Downstream
SELENOL.1.selenocysteine	ENSNEYP00005033123	Stop codon
SELENOM.3.selenocysteine	ENSNEYP00005033635	Downstream
SELENON.1.selenocysteine	ENSNEYP00005032199	Stop codon
SELENON.1.selenocysteine	ENSNEYP00005032213	Stop codon
SELENON.1.selenocysteine	ENSNEYP00005032225	Skipped
SELENON.12.selenocysteine	ENSNEYP00005024549	Skipped
SELENON.12.selenocysteine	ENSNEYP00005024606	Stop codon
SELENOT.5.selenocysteine	ENSNEYP00005011424	Downstream
SELENOT.9.selenocysteine	ENSNEYP00005029429	Downstream
SELENOU.11.selenocysteine	ENSNEYP00005046880	Downstream
SELENOW.1.selenocysteine	ENSNEYP00005009112	Stop codon
SELENOW.1.selenocysteine	ENSNEYP00005009118	Downstream
SELENOW.1.selenocysteine	ENSNEYP00005009126	Out of frame
SEPHS2.10.selenocysteine	ENSNEYP00005048310	Skipped
SEPHS2.10.selenocysteine	ENSNEYP00005048316	Downstream
SEPHS2.4.selenocysteine	ENSNEYP00005021964	Downstream
TXNRD.25.selenocysteine	ENSNEYP00005008864	Stop codon
TXNRD.25.selenocysteine	ENSNEYP00005008873	Stop codon
TXNRD.25.selenocysteine	ENSNEYP00005008885	Stop codon
