transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_041254331.1	Well annotated
DIO.3.selenocysteine	cds-XP_041256431.1	Well annotated
DIO.3.selenocysteine	cds-XP_041256440.1	Well annotated
DIO.5.selenocysteine	cds-XP_041277638.1	Well annotated
GPX.1.selenocysteine	cds-XP_041262164.1	Well annotated
GPX.12.selenocysteine	cds-XP_041272985.1	Well annotated
GPX.3.selenocysteine	cds-XP_041281444.1	Well annotated
GPX.4.selenocysteine	cds-XP_041253436.1	Well annotated
MSRB.1.selenocysteine	cds-XP_041257942.1	Well annotated
MSRB.1.selenocysteine	cds-XP_041257944.1	Well annotated
MSRB.1.selenocysteine	cds-XP_041257945.1	Stop codon
SELENOF.3.selenocysteine	cds-XP_041277372.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_041258215.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_041258216.1	Well annotated
SELENOI.6.selenocysteine	cds-XP_041261126.1	Stop codon
SELENOI.6.selenocysteine	cds-XP_041261127.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_041281801.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_041281803.1	Stop codon
SELENOM.3.selenocysteine	cds-XP_041276182.1	Well annotated
SELENON.3.selenocysteine	cds-XP_041273239.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_041261239.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_041277506.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_041280551.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_041274661.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_041261689.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_041260978.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_041260979.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_041260980.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_041260981.1	Well annotated
SEPHS2.11.selenocysteine	cds-XP_041263105.1	Well annotated
TXNRD.20.selenocysteine	cds-XP_041282740.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_041266147.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_041266149.1	Stop codon
TXNRD.4.selenocysteine	cds-XP_041281478.1	Stop codon
TXNRD.4.selenocysteine	cds-XP_041281479.1	Stop codon
