transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	cds-XP_010138764.1	Well annotated
DIO.3.selenocysteine	cds-XP_010138088.1	Well annotated
GPX.8.selenocysteine	cds-XP_010136454.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_010134817.1	Well annotated
SELENOI.8.selenocysteine	cds-XP_010132123.1	Stop codon
SELENOK.2.selenocysteine	cds-XP_010136893.1	Out of frame
SELENON.12.selenocysteine	cds-XP_010133894.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_010144284.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_010139890.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_010134264.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_010141273.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_010141920.1	Downstream
TXNRD.10.selenocysteine	cds-XP_010132301.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_010130030.1	Stop codon
TXNRD.34.selenocysteine	cds-XP_010144252.1	Out of frame
