transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSTALP00005010236	Downstream
DIO.1.selenocysteine	ENSTALP00005010288	Stop codon
DIO.3.selenocysteine	ENSTALP00005020265	Out of frame
DIO.3.selenocysteine	ENSTALP00005020275	Downstream
DIO.5.selenocysteine	ENSTALP00005013619	Skipped
GPX.11.selenocysteine	ENSTALP00005006556	Downstream
GPX.11.selenocysteine	ENSTALP00005006667	Skipped
GPX.13.selenocysteine	ENSTALP00005020276	Downstream
GPX.2.selenocysteine	ENSTALP00005025372	Downstream
GPX.2.selenocysteine	ENSTALP00005025376	Skipped
SELENOF.3.selenocysteine	ENSTALP00005005499	Stop codon
SELENOH.1.selenocysteine	ENSTALP00005010382	Skipped
SELENOI.7.selenocysteine	ENSTALP00005011954	Out of frame
SELENOI.7.selenocysteine	ENSTALP00005011993	Stop codon
SELENOK.2.selenocysteine	ENSTALP00005025579	Stop codon
SELENON.5.selenocysteine	ENSTALP00005007284	Skipped
SELENOP.1.selenocysteine	ENSTALP00005016083	Skipped
SELENOP.3.selenocysteine	ENSTALP00005015932	Skipped
SELENOS.5.selenocysteine	ENSTALP00005001022	Stop codon
SELENOS.5.selenocysteine	ENSTALP00005001028	Upstream
SELENOT.3.selenocysteine	ENSTALP00005009596	Downstream
SELENOU.7.selenocysteine	ENSTALP00005017022	Stop codon
SELENOU.7.selenocysteine	ENSTALP00005017030	Stop codon
TXNRD.20.selenocysteine	ENSTALP00005023254	Stop codon
TXNRD.20.selenocysteine	ENSTALP00005023286	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023296	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023299	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023324	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023334	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023342	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023348	Upstream
TXNRD.20.selenocysteine	ENSTALP00005023352	Upstream
TXNRD.23.selenocysteine	ENSTALP00005005504	Stop codon
TXNRD.23.selenocysteine	ENSTALP00005005528	Stop codon
