transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_055969695.1	Well annotated
DIO.3.selenocysteine	cds-XP_055989340.1	Well annotated
DIO.3.selenocysteine	cds-XP_055989341.1	Well annotated
GPX.16.selenocysteine	cds-XP_055988150.1	Well annotated
GPX.2.selenocysteine	cds-XP_055985352.1	Well annotated
GPX.4.selenocysteine	cds-XP_055989962.1	Well annotated
GPX.7.selenocysteine	cds-XP_055968268.1	Well annotated
GPX.8.selenocysteine	cds-XP_055968780.1	Well annotated
MSRB.1.selenocysteine	cds-XP_055991264.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_055979653.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_055991911.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_055980062.1	Well annotated
SELENOK.7.selenocysteine	cds-XP_055985065.1	Well annotated
SELENOK.7.selenocysteine	cds-XP_055985066.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_055972527.1	Well annotated
SELENON.5.selenocysteine	cds-XP_055979254.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_055980561.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_055977805.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_055992684.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_055993714.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_055970425.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_055970430.1	Stop codon
TXNRD.16.selenocysteine	cds-XP_055985229.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_055976320.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_055976321.1	Stop codon
