transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_080772213.1	Well annotated
DIO.3.selenocysteine	cds-XP_080765288.1	Well annotated
DIO.5.selenocysteine	cds-XP_080778267.1	Well annotated
GPX.2.selenocysteine	cds-XP_080790483.1	Well annotated
GPX.20.selenocysteine	cds-XP_080780513.1	Well annotated
GPX.5.selenocysteine	cds-XP_080795806.1	Well annotated
GPX.7.selenocysteine	cds-XP_080791438.1	Well annotated
GPX.7.selenocysteine	cds-XP_080791439.1	Well annotated
MSRB.1.selenocysteine	cds-XP_080798192.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_080772464.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_080772465.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_080783307.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_080783308.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_080773278.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_080784548.1	Stop codon
SELENOK.27.selenocysteine	cds-XP_080782275.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_080798290.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_080798291.1	Skipped
SELENON.2.selenocysteine	cds-XP_080777733.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_080795506.1	Stop codon
SELENOP.4.selenocysteine	cds-XP_080789891.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_080789892.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_080771009.1	Stop codon
SELENOT.18.selenocysteine	cds-XP_080785353.1	Well annotated
SELENOW.6.selenocysteine	cds-XP_080765262.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_080767867.1	Well annotated
TXNRD.22.selenocysteine	cds-XP_080770050.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_080770051.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_080775232.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_080775233.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_080775234.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_080791152.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_080791153.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_080791154.1	Stop codon
