transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00460009081	Downstream
DIO.1.selenocysteine	ENSP00460009082	Well annotated
DIO.3.selenocysteine	ENSP00460022071	Well annotated
DIO.3.selenocysteine	ENSP00460022073	Well annotated
DIO.3.selenocysteine	ENSP00460022077	Upstream
DIO.3.selenocysteine	ENSP00460022078	Out of frame
DIO.3.selenocysteine	ENSP00460022080	Upstream
DIO.3.selenocysteine	ENSP00460022081	Upstream
DIO.3.selenocysteine	ENSP00460022082	Upstream
DIO.4.selenocysteine	ENSP00460099115	Well annotated
DIO.4.selenocysteine	ENSP00460099116	Well annotated
DIO.4.selenocysteine	ENSP00460099117	Well annotated
DIO.4.selenocysteine	ENSP00460099118	Out of frame
DIO.4.selenocysteine	ENSP00460099119	Out of frame
DIO.4.selenocysteine	ENSP00460099120	Upstream
DIO.4.selenocysteine	ENSP00460099121	Out of frame
DIO.4.selenocysteine	ENSP00460099122	Skipped
DIO.4.selenocysteine	ENSP00460099123	Downstream
DIO.4.selenocysteine	ENSP00460099124	Well annotated
DIO.4.selenocysteine	ENSP00460099125	Upstream
DIO.4.selenocysteine	ENSP00460099126	Upstream
GPX.10.selenocysteine	ENSP00460011519	Well annotated
GPX.10.selenocysteine	ENSP00460011520	Well annotated
GPX.10.selenocysteine	ENSP00460011521	Well annotated
GPX.10.selenocysteine	ENSP00460011522	Well annotated
GPX.10.selenocysteine	ENSP00460011523	Well annotated
GPX.10.selenocysteine	ENSP00460011524	Well annotated
GPX.10.selenocysteine	ENSP00460011525	Well annotated
GPX.10.selenocysteine	ENSP00460011526	Downstream
GPX.10.selenocysteine	ENSP00460011527	Well annotated
GPX.10.selenocysteine	ENSP00460011528	Well annotated
GPX.10.selenocysteine	ENSP00460011529	Well annotated
GPX.10.selenocysteine	ENSP00460011530	Downstream
GPX.12.selenocysteine	ENSP00460074249	Well annotated
GPX.12.selenocysteine	ENSP00460074250	Well annotated
GPX.12.selenocysteine	ENSP00460074251	Upstream
GPX.12.selenocysteine	ENSP00460074252	Upstream
GPX.12.selenocysteine	ENSP00460074253	Out of frame
GPX.2.selenocysteine	ENSP00460058395	Well annotated
GPX.2.selenocysteine	ENSP00460058396	Well annotated
GPX.2.selenocysteine	ENSP00460058397	Skipped
GPX.2.selenocysteine	ENSP00460058398	Well annotated
GPX.2.selenocysteine	ENSP00460058399	Well annotated
GPX.2.selenocysteine	ENSP00460058400	Well annotated
GPX.2.selenocysteine	ENSP00460058401	Skipped
GPX.2.selenocysteine	ENSP00460058402	Well annotated
GPX.2.selenocysteine	ENSP00460058403	Well annotated
GPX.2.selenocysteine	ENSP00460058404	Well annotated
GPX.2.selenocysteine	ENSP00460058405	Well annotated
GPX.2.selenocysteine	ENSP00460058406	Upstream
GPX.2.selenocysteine	ENSP00460058407	Well annotated
GPX.2.selenocysteine	ENSP00460058408	Well annotated
GPX.20.selenocysteine	ENSP00460000591	Well annotated
GPX.20.selenocysteine	ENSP00460000592	Well annotated
GPX.4.selenocysteine	ENSP00460016923	Well annotated
GPX.4.selenocysteine	ENSP00460016924	Well annotated
GPX.4.selenocysteine	ENSP00460016925	Skipped
GPX.4.selenocysteine	ENSP00460016926	Well annotated
MSRB.2.selenocysteine	ENSP00460022863	Well annotated
MSRB.2.selenocysteine	ENSP00460022864	Upstream
MSRB.2.selenocysteine	ENSP00460022866	Out of frame
MSRB.2.selenocysteine	ENSP00460022868	Out of frame
SELENOF.3.selenocysteine	ENSP00460029992	Well annotated
SELENOF.3.selenocysteine	ENSP00460029994	Well annotated
SELENOF.3.selenocysteine	ENSP00460029996	Well annotated
SELENOF.3.selenocysteine	ENSP00460029999	Out of frame
SELENOF.3.selenocysteine	ENSP00460030001	Out of frame
SELENOH.2.selenocysteine	ENSP00460012467	Well annotated
SELENOH.2.selenocysteine	ENSP00460012468	Well annotated
SELENOH.2.selenocysteine	ENSP00460012469	Out of frame
SELENOI.3.selenocysteine	ENSP00460079881	Upstream
SELENOI.3.selenocysteine	ENSP00460079882	Well annotated
SELENOI.3.selenocysteine	ENSP00460079883	Upstream
SELENOK.7.selenocysteine	ENSP00460098199	Well annotated
SELENOK.7.selenocysteine	ENSP00460098200	Out of frame
SELENOM.2.selenocysteine	ENSP00460076243	Well annotated
SELENOM.2.selenocysteine	ENSP00460076244	Well annotated
SELENON.4.selenocysteine	ENSP00460031011	Well annotated
SELENON.4.selenocysteine	ENSP00460031012	Well annotated
SELENON.4.selenocysteine	ENSP00460031013	Well annotated
SELENON.4.selenocysteine	ENSP00460031014	Well annotated
SELENOO.7.selenocysteine	ENSP00460005532	Well annotated
SELENOP.3.selenocysteine	ENSP00460094918	Well annotated
SELENOP.3.selenocysteine	ENSP00460094919	Well annotated
SELENOP.3.selenocysteine	ENSP00460094922	Well annotated
SELENOP.3.selenocysteine	ENSP00460094924	Well annotated
SELENOP.3.selenocysteine	ENSP00460094925	Well annotated
SELENOP.3.selenocysteine	ENSP00460094926	Well annotated
SELENOS.2.selenocysteine	ENSP00460049574	Well annotated
SELENOS.2.selenocysteine	ENSP00460049575	Well annotated
SELENOS.2.selenocysteine	ENSP00460049576	Well annotated
SELENOS.2.selenocysteine	ENSP00460049577	Upstream
SELENOT.5.selenocysteine	ENSP00460099323	Downstream
SELENOT.5.selenocysteine	ENSP00460099324	Downstream
SELENOT.5.selenocysteine	ENSP00460099325	Well annotated
SELENOT.5.selenocysteine	ENSP00460099326	Upstream
SELENOT.5.selenocysteine	ENSP00460099327	Downstream
SELENOW.3.selenocysteine	ENSP00460012339	Well annotated
SELENOW.4.selenocysteine	ENSP00460004618	Well annotated
SELENOW.4.selenocysteine	ENSP00460004619	Well annotated
SELENOW.4.selenocysteine	ENSP00460004620	Well annotated
SELENOW.4.selenocysteine	ENSP00460004621	Well annotated
SEPHS2.1.selenocysteine	ENSP00460038792	Well annotated
TXNRD.10.selenocysteine	ENSP00460106740	Upstream
TXNRD.10.selenocysteine	ENSP00460106741	Upstream
TXNRD.10.selenocysteine	ENSP00460106742	Well annotated
TXNRD.10.selenocysteine	ENSP00460106743	Upstream
TXNRD.10.selenocysteine	ENSP00460106744	Upstream
TXNRD.10.selenocysteine	ENSP00460106745	Well annotated
TXNRD.10.selenocysteine	ENSP00460106746	Upstream
TXNRD.10.selenocysteine	ENSP00460106747	Well annotated
TXNRD.10.selenocysteine	ENSP00460106748	Upstream
TXNRD.10.selenocysteine	ENSP00460106749	Well annotated
TXNRD.10.selenocysteine	ENSP00460106750	Upstream
TXNRD.10.selenocysteine	ENSP00460106751	Well annotated
TXNRD.10.selenocysteine	ENSP00460106752	Well annotated
TXNRD.10.selenocysteine	ENSP00460106753	Upstream
TXNRD.10.selenocysteine	ENSP00460106754	Well annotated
TXNRD.13.selenocysteine	ENSP00460089316	Well annotated
TXNRD.13.selenocysteine	ENSP00460089317	Well annotated
