transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_029453809.1	Well annotated
DIO.3.selenocysteine	cds-XP_029453555.1	Well annotated
DIO.3.selenocysteine	cds-XP_029453556.1	Well annotated
DIO.5.selenocysteine	cds-XP_029474524.1	Well annotated
GPX.14.selenocysteine	cds-XP_029439221.1	Well annotated
GPX.15.selenocysteine	cds-XP_029469258.1	Well annotated
GPX.3.selenocysteine	cds-XP_029454756.1	Well annotated
GPX.4.selenocysteine	cds-XP_029455488.1	Well annotated
MSRB.1.selenocysteine	cds-XP_029433441.1	Well annotated
SELENOE.2.selenocysteine	cds-XP_029427378.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_029474841.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_029431258.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_029431260.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_029431261.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_029431262.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_029431263.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_029431264.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_029452116.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_029456759.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_029456760.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_029426949.1	Well annotated
SELENON.1.selenocysteine	cds-XP_029444216.1	Well annotated
SELENON.1.selenocysteine	cds-XP_029444217.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_029471352.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_029433857.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_029433866.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_029433876.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_029433843.1	Well annotated
SELENOP.8.selenocysteine	cds-XP_029474586.1	Well annotated
SELENOP.8.selenocysteine	cds-XP_029474587.1	Well annotated
SELENOP.8.selenocysteine	cds-XP_029474588.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_029431235.1	Stop codon
SELENOU.4.selenocysteine	cds-XP_029465318.1	Well annotated
SELENOU.4.selenocysteine	cds-XP_029465319.1	Well annotated
SEPHS2.5.selenocysteine	cds-XP_029464365.1	Downstream
SEPHS2.5.selenocysteine	cds-XP_029464373.1	Downstream
TXNRD.31.selenocysteine	cds-XP_029427867.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_029427868.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_029457196.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_029457197.1	Stop codon
TXNRD.6.selenocysteine	cds-XP_029457377.1	Stop codon
