transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XFF89641.1	Skipped
DIO.3.selenocysteine	cds-XFF81354.1	Skipped
DIO.5.selenocysteine	cds-XFF75780.1	Skipped
GPX.10.selenocysteine	cds-XFF79193.1	Skipped
GPX.2.selenocysteine	cds-XFF90046.1	Downstream
GPX.20.selenocysteine	cds-XFF90416.1	Skipped
GPX.9.selenocysteine	cds-XFF79413.1	Skipped
MSRB.1.selenocysteine	cds-XFF91236.1	Skipped
SELENOI.10.selenocysteine	cds-XFF82690.1	Stop codon
SELENOK.2.selenocysteine	cds-XFF89948.1	Stop codon
SELENOM.2.selenocysteine	cds-XFF86221.1	Skipped
SELENON.4.selenocysteine	cds-XFF74716.1	Stop codon
SELENOO.3.selenocysteine	cds-XFF78430.1	Stop codon
SELENOP.1.selenocysteine	cds-XFF89019.1	Out of frame
SELENOS.5.selenocysteine	cds-XFF89197.1	Stop codon
SELENOT.2.selenocysteine	cds-XFF74321.1	Downstream
SELENOT.2.selenocysteine	cds-XFF74322.1	Stop codon
SELENOW.4.selenocysteine	cds-XFF87176.1	Out of frame
SELENOW.5.selenocysteine	cds-XFF87374.1	Out of frame
SEPHS2.1.selenocysteine	cds-XFF91540.1	Downstream
TXNRD.13.selenocysteine	cds-XFF90205.1	Stop codon
TXNRD.3.selenocysteine	cds-XFF77874.1	Stop codon
TXNRD.31.selenocysteine	cds-XFF86111.1	Out of frame
