transcript_id	transcript_id_ens	Type_annotation
GPX.5.selenocysteine	cds-XP_063689159.1	Downstream
GPX.6.selenocysteine	cds-XP_063677258.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677259.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677260.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677261.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677262.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677263.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677264.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677265.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677266.1	Well annotated
GPX.6.selenocysteine	cds-XP_063677267.1	Well annotated
GPX.9.selenocysteine	cds-XP_063685771.1	Well annotated
MSRB.1.selenocysteine	cds-XP_063681659.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_063690141.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_063690142.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_063690143.1	Well annotated
SELENOU.2.selenocysteine	cds-XP_063678328.1	Out of frame
SELENOU.2.selenocysteine	cds-XP_063688705.1	Out of frame
SELENOW.1.selenocysteine	cds-XP_063679171.1	Downstream
SELENOW.2.selenocysteine	cds-XP_063679171.1	Downstream
SEPHS2.2.selenocysteine	cds-XP_063684811.1	Well annotated
