transcript_id	transcript_id_ens	Type_annotation
DIO.13.selenocysteine	BRAKERATYP00000026241	Skipped
DIO.13.selenocysteine	g4908.t1	Skipped
DIO.20.selenocysteine	BRAKERATYP00000024249	Skipped
DIO.20.selenocysteine	g15174.t1	Skipped
DIO.3.selenocysteine	BRAKERATYP00000034399	Skipped
DIO.3.selenocysteine	g11847.t1	Skipped
GPX.10.selenocysteine	BRAKERATYP00000001043	Skipped
GPX.10.selenocysteine	g36448.t1	Skipped
GPX.2.selenocysteine	BRAKERATYP00000034392	Downstream
GPX.2.selenocysteine	g11345.t1	Downstream
GPX.4.selenocysteine	BRAKERATYP00000034711	Downstream
GPX.4.selenocysteine	g13073.t1	Downstream
GPX.5.selenocysteine	BRAKERATYP00000006198	Downstream
GPX.5.selenocysteine	g7619.t1	Downstream
GPX.8.selenocysteine	BRAKERATYP00000039822	Skipped
GPX.8.selenocysteine	g23909.t1	Skipped
MSRB.8.selenocysteine	6058_t	Stop codon
MSRB.8.selenocysteine	BRAKERATYP00000028886	Stop codon
MSRB.8.selenocysteine	BRAKERATYP00000029285	Stop codon
MSRB.8.selenocysteine	g27127.t1	Stop codon
MsrA.2.selenocysteine	BRAKERATYP00000035832	Downstream
MsrA.2.selenocysteine	g13051.t1	Downstream
SELENOF.1.selenocysteine	BRAKERATYP00000026810	Skipped
SELENOF.1.selenocysteine	g5111.t1	Skipped
SELENOH.1.selenocysteine	BRAKERATYP00000016316	Downstream
SELENOH.1.selenocysteine	g410.t1	Downstream
SELENOL.2.selenocysteine	BRAKERATYP00000010290	Downstream
SELENOL.2.selenocysteine	g22795.t1	Downstream
SELENON.4.selenocysteine	BRAKERATYP00000008847	Downstream
SELENON.4.selenocysteine	BRAKERATYP00000009321	Stop codon
SELENON.4.selenocysteine	g22371.t1	Stop codon
SELENON.4.selenocysteine	g22372.t1	Downstream
SELENOO.6.selenocysteine	BRAKERATYP00000022433	Stop codon
SELENOO.6.selenocysteine	g32853.t1	Stop codon
SELENOU.4.selenocysteine	BRAKERATYP00000030540	Skipped
SELENOU.4.selenocysteine	BRAKERATYP00000030541	Skipped
SELENOU.4.selenocysteine	g28646.t1	Skipped
SELENOU.4.selenocysteine	g28646.t2	Skipped
SELENOU.7.selenocysteine	BRAKERATYP00000017689	Skipped
SELENOU.7.selenocysteine	g24852.t1	Skipped
TXNRD.12.selenocysteine	BRAKERATYP00000010983	Stop codon
TXNRD.12.selenocysteine	g9301.t1	Stop codon
